"","Country","Year","percent_of_people_with_access_to_electricity"
"1673","Panama",1999,80.02445221
"1674","Panama",2000,81.40141009
"1675","Panama",2001,81.52078247
"1676","Panama",2002,82.24740601
"1677","Panama",2003,87.8
"1678","Panama",2004,83.68785095
"1679","Panama",2005,84.4138031
"1680","Panama",2006,85.15166473
"1681","Panama",2007,85.90749359
"1682","Panama",2008,86.68584442
"1683","Panama",2009,87.48522186
"1684","Panama",2010,86.85
"1685","Panama",2011,89.13504028
"1686","Panama",2012,89.97947693
"1687","Panama",2013,89.1
"1688","Panama",2014,91.69238281
"1689","Panama",2015,92.55484009
"1690","Panama",2016,93.4178009
"1691","Paraguay",1990,80.42372894
"1692","Paraguay",1991,81.32014465
"1693","Paraguay",1992,82.21605682
"1694","Paraguay",1993,83.10890198
"1695","Paraguay",1994,83.99563599
"1696","Paraguay",1995,77.469114
"1697","Paraguay",1996,85.7385025
"1698","Paraguay",1997,86.412854
"1699","Paraguay",1998,87.4201889
"1700","Paraguay",1999,88.518177
"1701","Paraguay",2000,89.01773834
"1702","Paraguay",2001,91.04207
"1703","Paraguay",2002,91.666443
"1704","Paraguay",2003,92.558399
"1705","Paraguay",2004,93.249876
"1706","Paraguay",2005,94.686886
"1707","Paraguay",2006,96.749045
"1708","Paraguay",2007,96.452771
"1709","Paraguay",2008,96.677896
"1710","Paraguay",2009,96.891335
"1711","Paraguay",2010,97.43086
"1712","Paraguay",2011,98.23656
"1713","Paraguay",2012,97.835616
"1714","Paraguay",2013,99.015884
"1715","Paraguay",2014,99.000716
"1716","Paraguay",2015,99.331532
"1717","Paraguay",2016,98.4
"1718","Philippines",1990,62.11444855
"1719","Philippines",1991,63.28618622
"1720","Philippines",1992,64.45741272
"1721","Philippines",1993,65.4
"1722","Philippines",1994,66.7876358
"1723","Philippines",1995,67.94051361
"1724","Philippines",1996,69.08114624
"1725","Philippines",1997,70.20648956
"1726","Philippines",1998,71.3
"1727","Philippines",1999,71.87417093
"1728","Philippines",2000,73.46167755
"1729","Philippines",2001,74.50588989
"1730","Philippines",2002,75.53775024
"1731","Philippines",2003,76.6
"1732","Philippines",2004,77.58869171
"1733","Philippines",2005,78.61989594
"1734","Philippines",2006,79.66300201
"1735","Philippines",2007,80.72408295
"1736","Philippines",2008,83.3
"1737","Philippines",2009,82.91230011
"1738","Philippines",2010,84.03495026
"1739","Philippines",2011,85.17262268
"1740","Philippines",2012,86.32230377
"1741","Philippines",2013,87.5
"1742","Philippines",2014,88.64569855
"1743","Philippines",2015,89.08
"1744","Philippines",2016,90.98161316
"1745","Poland",1990,100
"1746","Poland",1991,100
"1747","Poland",1992,100
"1748","Poland",1993,100
"1749","Poland",1994,100
"1750","Poland",1995,100
"1751","Poland",1996,100
"1752","Poland",1997,100
"1753","Poland",1998,100
"1754","Poland",1999,100
"1755","Poland",2000,100
"1756","Poland",2001,100
"1757","Poland",2002,100
"1758","Poland",2003,100
"1759","Poland",2004,100
"1760","Poland",2005,100
"1761","Poland",2006,100
"1762","Poland",2007,100
"1763","Poland",2008,100
"1764","Poland",2009,100
"1765","Poland",2010,100
"1766","Poland",2011,100
"1767","Poland",2012,100
"1768","Poland",2013,100
"1769","Poland",2014,100
"1770","Poland",2015,100
"1771","Poland",2016,100
"1772","Portugal",1990,100
"1773","Portugal",1991,100
"1774","Portugal",1992,100
"1775","Portugal",1993,100
"1776","Portugal",1994,100
"1777","Portugal",1995,100
"1778","Portugal",1996,100
"1779","Portugal",1997,100
"1780","Portugal",1998,100
"1781","Portugal",1999,100
"1782","Portugal",2000,100
"1783","Portugal",2001,100
"1784","Portugal",2002,100
"1785","Portugal",2003,100
"1786","Portugal",2004,100
"1787","Portugal",2005,100
"1788","Portugal",2006,100
"1789","Portugal",2007,100
"1790","Portugal",2008,100
"1791","Portugal",2009,100
"1792","Portugal",2010,100
"1793","Portugal",2011,100
"1794","Portugal",2012,100
"1795","Portugal",2013,100
"1796","Portugal",2014,100
"1797","Portugal",2015,100
"1798","Portugal",2016,100
"1799","Puerto Rico",2002,100
"1800","Puerto Rico",2003,100
"1801","Puerto Rico",2004,100
"1802","Puerto Rico",2005,100
"1803","Puerto Rico",2006,100
"1804","Puerto Rico",2007,100
"1805","Puerto Rico",2008,100
"1806","Puerto Rico",2009,100
"1807","Puerto Rico",2010,100
"1808","Puerto Rico",2011,100
"1809","Puerto Rico",2012,100
"1810","Puerto Rico",2013,100
"1811","Puerto Rico",2014,100
"1812","Puerto Rico",2015,100
"1813","Puerto Rico",2016,100
"1814","Qatar",1990,100
"1815","Qatar",1991,100
"1816","Qatar",1992,100
"1817","Qatar",1993,100
"1818","Qatar",1994,100
"1819","Qatar",1995,100
"1820","Qatar",1996,100
"1821","Qatar",1997,100
"1822","Qatar",1998,100
"1823","Qatar",1999,100
"1824","Qatar",2000,100
"1825","Qatar",2001,100
"1826","Qatar",2002,100
"1827","Qatar",2003,100
"1828","Qatar",2004,100
"1829","Qatar",2005,100
"1830","Qatar",2006,100
"1831","Qatar",2007,100
"1832","Qatar",2008,100
"1833","Qatar",2009,100
"1834","Qatar",2010,100
"1835","Qatar",2011,100
"1836","Qatar",2012,100
"1837","Qatar",2013,100
"1838","Qatar",2014,100
"1839","Qatar",2015,100
"1840","Qatar",2016,100
"1841","Romania",1990,100
"1842","Romania",1991,100
"1843","Romania",1992,100
"1844","Romania",1993,100
"1845","Romania",1994,100
"1846","Romania",1995,100
"1847","Romania",1996,100
"1848","Romania",1997,100
"1849","Romania",1998,100
"1850","Romania",1999,100
"1851","Romania",2000,100
"1852","Romania",2001,100
"1853","Romania",2002,100
"1854","Romania",2003,100
"1855","Romania",2004,100
"1856","Romania",2005,100
"1857","Romania",2006,100
"1858","Romania",2007,100
"1859","Romania",2008,100
"1860","Romania",2009,100
"1861","Romania",2010,100
"1862","Romania",2011,100
"1863","Romania",2012,100
"1864","Romania",2013,100
"1865","Romania",2014,100
"1866","Romania",2015,100
"1867","Romania",2016,100
"1868","Russian Federation",1990,100
"1869","Russian Federation",1991,100
"1870","Russian Federation",1992,100
"1871","Russian Federation",1993,100
"1872","Russian Federation",1994,100
"1873","Russian Federation",1995,100
"1874","Russian Federation",1996,100
"1875","Russian Federation",1997,100
"1876","Russian Federation",1998,100
"1877","Russian Federation",1999,100
"1878","Russian Federation",2000,100
"1879","Russian Federation",2001,100
"1880","Russian Federation",2002,100
"1881","Russian Federation",2003,100
"1882","Russian Federation",2004,100
"1883","Russian Federation",2005,100
"1884","Russian Federation",2006,100
"1885","Russian Federation",2007,100
"1886","Russian Federation",2008,100
"1887","Russian Federation",2009,100
"1888","Russian Federation",2010,100
"1889","Russian Federation",2011,100
"1890","Russian Federation",2012,100
"1891","Russian Federation",2013,100
"1892","Russian Federation",2014,100
"1893","Russian Federation",2015,100
"1894","Russian Federation",2016,100
"1895","San Marino",1990,100
"1896","San Marino",1991,100
"1897","San Marino",1992,100
"1898","San Marino",1993,100
"1899","San Marino",1994,100
"1900","San Marino",1995,100
"1901","San Marino",1996,100
"1902","San Marino",1997,100
"1903","San Marino",1998,100
"1904","San Marino",1999,100
"1905","San Marino",2000,100
"1906","San Marino",2001,100
"1907","San Marino",2002,100
"1908","San Marino",2003,100
"1909","San Marino",2004,100
"1910","San Marino",2005,100
"1911","San Marino",2006,100
"1912","San Marino",2007,100
"1913","San Marino",2008,100
"1914","San Marino",2009,100
"1915","San Marino",2010,100
"1916","San Marino",2011,100
"1917","San Marino",2012,100
"1918","San Marino",2013,100
"1919","San Marino",2014,100
"1920","San Marino",2015,100
"1921","San Marino",2016,100
"1922","Seychelles",1990,89.54558563
"1923","Seychelles",1991,90.01955414
"1924","Seychelles",1992,90.49301147
"1925","Seychelles",1993,90.96340942
"1926","Seychelles",1994,90
"1927","Seychelles",1995,91.88279724
"1928","Seychelles",1996,92.32566833
"1929","Seychelles",1997,92
"1930","Seychelles",1998,93.16246033
"1931","Seychelles",1999,93.55026245
"1932","Seychelles",2000,93.91511536
"1933","Seychelles",2001,94.26155853
"1934","Seychelles",2002,96.1
"1935","Seychelles",2003,94.92346954
"1936","Seychelles",2004,95.25106049
"1937","Seychelles",2005,95.58448792
"1938","Seychelles",2006,99
"1939","Seychelles",2007,96.2931366
"1940","Seychelles",2008,96.67896271
"1941","Seychelles",2009,97.08582306
"1942","Seychelles",2010,97
"1943","Seychelles",2011,97.95059967
"1944","Seychelles",2012,98.40927124
"1945","Seychelles",2013,98
"1946","Seychelles",2014,99.29888916
"1947","Seychelles",2015,99.67832184
"1948","Seychelles",2016,100
"1949","Singapore",1990,100
"1950","Singapore",1991,100
"1951","Singapore",1992,100
"1952","Singapore",1993,100
"1953","Singapore",1994,100
"1954","Singapore",1995,100
"1955","Singapore",1996,100
"1956","Singapore",1997,100
"1957","Singapore",1998,100
"1958","Singapore",1999,100
"1959","Singapore",2000,100
"1960","Singapore",2001,100
"1961","Singapore",2002,100
"1962","Singapore",2003,100
"1963","Singapore",2004,100
"1964","Singapore",2005,100
"1965","Singapore",2006,100
"1966","Singapore",2007,100
"1967","Singapore",2008,100
"1968","Singapore",2009,100
"1969","Singapore",2010,100
"1970","Singapore",2011,100
"1971","Singapore",2012,100
"1972","Singapore",2013,100
"1973","Singapore",2014,100
"1974","Singapore",2015,100
"1975","Singapore",2016,100
"1976","Slovenia",1990,100
"1977","Slovenia",1991,100
"1978","Slovenia",1992,100
"1979","Slovenia",1993,100
"1980","Slovenia",1994,100
"1981","Slovenia",1995,100
"1982","Slovenia",1996,100
"1983","Slovenia",1997,100
"1984","Slovenia",1998,100
"1985","Slovenia",1999,100
"1986","Slovenia",2000,100
"1987","Slovenia",2001,100
"1988","Slovenia",2002,100
"1989","Slovenia",2003,100
"1990","Slovenia",2004,100
"1991","Slovenia",2005,100
"1992","Slovenia",2006,100
"1993","Slovenia",2007,100
"1994","Slovenia",2008,100
"1995","Slovenia",2009,100
"1996","Slovenia",2010,100
"1997","Slovenia",2011,100
"1998","Slovenia",2012,100
"1999","Slovenia",2013,100
"2000","Slovenia",2014,100
"2001","Slovenia",2015,100
"2002","Slovenia",2016,100
"2003","South Africa",1990,59.33794022
"2004","South Africa",1991,60.57508087
"2005","South Africa",1992,61.81171036
"2006","South Africa",1993,63.04528427
"2007","South Africa",1994,64.2727356
"2008","South Africa",1995,65.49101257
"2009","South Africa",1996,57.6
"2010","South Africa",1997,67.88779449
"2011","South Africa",1998,64.9
"2012","South Africa",1999,70.21115875
"2013","South Africa",2000,71.33917999
"2014","South Africa",2001,70.2
"2015","South Africa",2002,77.1
"2016","South Africa",2003,78.8
"2017","South Africa",2004,80.9
"2018","South Africa",2005,80.9
"2019","South Africa",2006,80.7
"2020","South Africa",2007,82
"2021","South Africa",2008,81.9
"2022","South Africa",2009,82.7
"2023","South Africa",2010,82.9
"2024","South Africa",2011,84.7
"2025","South Africa",2012,85.3
"2026","South Africa",2013,85.4
"2027","South Africa",2014,86
"2028","South Africa",2015,85.5
"2029","South Africa",2016,84.2
"2030","Spain",1990,100
"2031","Spain",1991,100
"2032","Spain",1992,100
"2033","Spain",1993,100
"2034","Spain",1994,100
"2035","Spain",1995,100
"2036","Spain",1996,100
"2037","Spain",1997,100
"2038","Spain",1998,100
"2039","Spain",1999,100
"2040","Spain",2000,100
"2041","Spain",2001,100
"2042","Spain",2002,100
"2043","Spain",2003,100
"2044","Spain",2004,100
"2045","Spain",2005,100
"2046","Spain",2006,100
"2047","Spain",2007,100
"2048","Spain",2008,100
"2049","Spain",2009,100
"2050","Spain",2010,100
"2051","Spain",2011,100
"2052","Spain",2012,100
"2053","Spain",2013,100
"2054","Spain",2014,100
"2055","Spain",2015,100
"2056","Spain",2016,100
"2057","Sri Lanka",1990,52.93764114
"2058","Sri Lanka",1991,54.63951111
"2059","Sri Lanka",1992,56.34087372
"2060","Sri Lanka",1993,58.03917313
"2061","Sri Lanka",1994,59.73135757
"2062","Sri Lanka",1995,61.41436386
"2063","Sri Lanka",1996,63.0851326
"2064","Sri Lanka",1997,64.74060822
"2065","Sri Lanka",1998,66.37773132
"2066","Sri Lanka",1999,67.99343109
"2067","Sri Lanka",2000,69.58618927
"2068","Sri Lanka",2001,63.6
"2069","Sri Lanka",2002,80.7
"2070","Sri Lanka",2003,74.27824402
"2071","Sri Lanka",2004,75.8337326
"2072","Sri Lanka",2005,77.39506531
"2073","Sri Lanka",2006,78.9683075
"2074","Sri Lanka",2007,80
"2075","Sri Lanka",2008,82.17324829
"2076","Sri Lanka",2009,83.80799866
"2077","Sri Lanka",2010,85.3
"2078","Sri Lanka",2011,87.76
"2079","Sri Lanka",2012,88.80839539
"2080","Sri Lanka",2013,90.2
"2081","Sri Lanka",2014,92.19206238
"2082","Sri Lanka",2015,93.88990021
"2083","Sri Lanka",2016,95.58823395
"2084","Suriname",1990,100
"2085","Suriname",1991,100
"2086","Suriname",1992,100
"2087","Suriname",1993,100
"2088","Suriname",1994,99.99056244
"2089","Suriname",1995,99.92409515
"2090","Suriname",1996,99.71331787
"2091","Suriname",1997,99.30543518
"2092","Suriname",1998,98.74053955
"2093","Suriname",1999,99.62406
"2094","Suriname",2000,97.44142914
"2095","Suriname",2001,96.74906921
"2096","Suriname",2002,96.04437256
"2097","Suriname",2003,95.33338928
"2098","Suriname",2004,94.62218475
"2099","Suriname",2005,93.91681671
"2100","Suriname",2006,91.01983989
"2101","Suriname",2007,92.54787445
"2102","Suriname",2008,91.89490509
"2103","Suriname",2009,91.26296234
"2104","Suriname",2010,91.19751586
"2105","Suriname",2011,90.05014801
"2106","Suriname",2012,89.46326447
"2107","Suriname",2013,88.88539124
"2108","Suriname",2014,88.31352997
"2109","Suriname",2015,87.74467468
"2110","Suriname",2016,87.17631531
"2111","Sweden",1990,100
"2112","Sweden",1991,100
"2113","Sweden",1992,100
"2114","Sweden",1993,100
"2115","Sweden",1994,100
"2116","Sweden",1995,100
"2117","Sweden",1996,100
"2118","Sweden",1997,100
"2119","Sweden",1998,100
"2120","Sweden",1999,100
"2121","Sweden",2000,100
"2122","Sweden",2001,100
"2123","Sweden",2002,100
"2124","Sweden",2003,100
"2125","Sweden",2004,100
"2126","Sweden",2005,100
"2127","Sweden",2006,100
"2128","Sweden",2007,100
"2129","Sweden",2008,100
"2130","Sweden",2009,100
"2131","Sweden",2010,100
"2132","Sweden",2011,100
"2133","Sweden",2012,100
"2134","Sweden",2013,100
"2135","Sweden",2014,100
"2136","Sweden",2015,100
"2137","Sweden",2016,100
"2138","Switzerland",1990,100
"2139","Switzerland",1991,100
"2140","Switzerland",1992,100
"2141","Switzerland",1993,100
"2142","Switzerland",1994,100
"2143","Switzerland",1995,100
"2144","Switzerland",1996,100
"2145","Switzerland",1997,100
"2146","Switzerland",1998,100
"2147","Switzerland",1999,100
"2148","Switzerland",2000,100
"2149","Switzerland",2001,100
"2150","Switzerland",2002,100
"2151","Switzerland",2003,100
"2152","Switzerland",2004,100
"2153","Switzerland",2005,100
"2154","Switzerland",2006,100
"2155","Switzerland",2007,100
"2156","Switzerland",2008,100
"2157","Switzerland",2009,100
"2158","Switzerland",2010,100
"2159","Switzerland",2011,100
"2160","Switzerland",2012,100
"2161","Switzerland",2013,100
"2162","Switzerland",2014,100
"2163","Switzerland",2015,100
"2164","Switzerland",2016,100
"2165","Thailand",1990,75.89871216
"2166","Thailand",1991,77.06542206
"2167","Thailand",1992,78.23162079
"2168","Thailand",1993,79.39476013
"2169","Thailand",1994,80.55178833
"2170","Thailand",1995,81.69963074
"2171","Thailand",1996,82.8352356
"2172","Thailand",1997,83.95555115
"2173","Thailand",1998,85.05751038
"2174","Thailand",1999,86.13805389
"2175","Thailand",2000,82.1
"2176","Thailand",2001,88.23482513
"2177","Thailand",2002,89.26166534
"2178","Thailand",2003,90.2822113
"2179","Thailand",2004,91.30254364
"2180","Thailand",2005,92.32872009
"2181","Thailand",2006,99.14620148
"2182","Thailand",2007,94.42284393
"2183","Thailand",2008,95.50141144
"2184","Thailand",2009,98.96
"2185","Thailand",2010,99.7
"2186","Thailand",2011,98.71641541
"2187","Thailand",2012,99.10862355
"2188","Thailand",2013,99.85569763
"2189","Thailand",2014,99.98166656
"2190","Thailand",2015,99.6
"2191","Thailand",2016,100
"2192","Trinidad and Tobago",1990,82.70045471
"2193","Trinidad and Tobago",1991,83.61853027
"2194","Trinidad and Tobago",1992,84.53608704
"2195","Trinidad and Tobago",1993,85.45059204
"2196","Trinidad and Tobago",1994,86.35897827
"2197","Trinidad and Tobago",1995,87.25817871
"2198","Trinidad and Tobago",1996,88.14514923
"2199","Trinidad and Tobago",1997,89.01682281
"2200","Trinidad and Tobago",1998,89.87014771
"2201","Trinidad and Tobago",1999,90.70204926
"2202","Trinidad and Tobago",2000,91.29
"2203","Trinidad and Tobago",2001,92.30155182
"2204","Trinidad and Tobago",2002,93.07975006
"2205","Trinidad and Tobago",2003,93.85166168
"2206","Trinidad and Tobago",2004,94.62335205
"2207","Trinidad and Tobago",2005,95.40088654
"2208","Trinidad and Tobago",2006,96.19033051
"2209","Trinidad and Tobago",2007,96.99773407
"2210","Trinidad and Tobago",2008,97.82766724
"2211","Trinidad and Tobago",2009,99
"2212","Trinidad and Tobago",2010,99.29836273
"2213","Trinidad and Tobago",2011,99.73614502
"2214","Trinidad and Tobago",2012,99.93693542
"2215","Trinidad and Tobago",2013,99.99293518
"2216","Trinidad and Tobago",2014,100
"2217","Trinidad and Tobago",2015,100
"2218","Trinidad and Tobago",2016,100
"2219","Turkey",1990,88.78113556
"2220","Turkey",1991,89.4154129
"2221","Turkey",1992,90.04917908
"2222","Turkey",1993,90.67989349
"2223","Turkey",1994,91.30448914
"2224","Turkey",1995,91.91989899
"2225","Turkey",1996,92.52307892
"2226","Turkey",1997,93.11096191
"2227","Turkey",1998,93.68048859
"2228","Turkey",1999,94.22860718
"2229","Turkey",2000,94.75376892
"2230","Turkey",2001,95.26052094
"2231","Turkey",2002,95.75492859
"2232","Turkey",2003,96.24304962
"2233","Turkey",2004,96.7309494
"2234","Turkey",2005,97.2246933
"2235","Turkey",2006,97.73033905
"2236","Turkey",2007,98.26985168
"2237","Turkey",2008,98.80690002
"2238","Turkey",2009,99.31074524
"2239","Turkey",2010,100
"2240","Turkey",2011,99.91078186
"2241","Turkey",2012,99.98565674
"2242","Turkey",2013,99.99925232
"2243","Turkey",2014,100
"2244","Turkey",2015,100
"2245","Turkey",2016,100
"2246","Turkmenistan",1990,98.61314392
"2247","Turkmenistan",1991,98.74869537
"2248","Turkmenistan",1992,98.88275146
"2249","Turkmenistan",1993,99.01324463
"2250","Turkmenistan",1994,99.13754272
"2251","Turkmenistan",1995,99.25263977
"2252","Turkmenistan",1996,99.35549927
"2253","Turkmenistan",1997,99.44309998
"2254","Turkmenistan",1998,99.51256561
"2255","Turkmenistan",1999,99.56173706
"2256","Turkmenistan",2000,99.6
"2257","Turkmenistan",2001,99.60073853
"2258","Turkmenistan",2002,99.60073853
"2259","Turkmenistan",2003,99.60051727
"2260","Turkmenistan",2004,99.5998764
"2261","Turkmenistan",2005,99.5998764
"2262","Turkmenistan",2006,99.8413328
"2263","Turkmenistan",2007,99.63609314
"2264","Turkmenistan",2008,99.68326569
"2265","Turkmenistan",2009,99.74977112
"2266","Turkmenistan",2010,100
"2267","Turkmenistan",2011,99.90586853
"2268","Turkmenistan",2012,99.96212006
"2269","Turkmenistan",2013,99.99034119
"2270","Turkmenistan",2014,99.99884796
"2271","Turkmenistan",2015,100
"2272","Turkmenistan",2016,100
"2273","Ukraine",1990,98.00318909
"2274","Ukraine",1991,98.17831421
"2275","Ukraine",1992,98.35194397
"2276","Ukraine",1993,98.52201843
"2277","Ukraine",1994,98.68586731
"2278","Ukraine",1995,98.84054565
"2279","Ukraine",1996,98.98297119
"2280","Ukraine",1997,99.11013794
"2281","Ukraine",1998,99.21923065
"2282","Ukraine",1999,99.30841064
"2283","Ukraine",2000,99.37786865
"2284","Ukraine",2001,99.43040466
"2285","Ukraine",2002,99.47088623
"2286","Ukraine",2003,99.50511169
"2287","Ukraine",2004,99.53910828
"2288","Ukraine",2005,99.8855617
"2289","Ukraine",2006,99.63037109
"2290","Ukraine",2007,99.8
"2291","Ukraine",2008,99.78270721
"2292","Ukraine",2009,99.8724823
"2293","Ukraine",2010,99.94507599
"2294","Ukraine",2011,99.98504639
"2295","Ukraine",2012,99.86749117
"2296","Ukraine",2013,100
"2297","Ukraine",2014,100
"2298","Ukraine",2015,100
"2299","Ukraine",2016,100
"2300","United Arab Emirates",1990,100
"2301","United Arab Emirates",1991,100
"2302","United Arab Emirates",1992,100
"2303","United Arab Emirates",1993,100
"2304","United Arab Emirates",1994,100
"2305","United Arab Emirates",1995,100
"2306","United Arab Emirates",1996,100
"2307","United Arab Emirates",1997,100
"2308","United Arab Emirates",1998,100
"2309","United Arab Emirates",1999,100
"2310","United Arab Emirates",2000,100
"2311","United Arab Emirates",2001,100
"2312","United Arab Emirates",2002,100
"2313","United Arab Emirates",2003,100
"2314","United Arab Emirates",2004,100
"2315","United Arab Emirates",2005,100
"2316","United Arab Emirates",2006,100
"2317","United Arab Emirates",2007,100
"2318","United Arab Emirates",2008,100
"2319","United Arab Emirates",2009,100
"2320","United Arab Emirates",2010,100
"2321","United Arab Emirates",2011,100
"2322","United Arab Emirates",2012,100
"2323","United Arab Emirates",2013,100
"2324","United Arab Emirates",2014,100
"2325","United Arab Emirates",2015,100
"2326","United Arab Emirates",2016,100
"2327","United Kingdom",1990,100
"2328","United Kingdom",1991,100
"2329","United Kingdom",1992,100
"2330","United Kingdom",1993,100
"2331","United Kingdom",1994,100
"2332","United Kingdom",1995,100
"2333","United Kingdom",1996,100
"2334","United Kingdom",1997,100
"2335","United Kingdom",1998,100
"2336","United Kingdom",1999,100
"2337","United Kingdom",2000,100
"2338","United Kingdom",2001,100
"2339","United Kingdom",2002,100
"2340","United Kingdom",2003,100
"2341","United Kingdom",2004,100
"2342","United Kingdom",2005,100
"2343","United Kingdom",2006,100
"2344","United Kingdom",2007,100
"2345","United Kingdom",2008,100
"2346","United Kingdom",2009,100
"2347","United Kingdom",2010,100
"2348","United Kingdom",2011,100
"2349","United Kingdom",2012,100
"2350","United Kingdom",2013,100
"2351","United Kingdom",2014,100
"2352","United Kingdom",2015,100
"2353","United Kingdom",2016,100
"2354","United States",1990,100
"2355","United States",1991,100
"2356","United States",1992,100
"2357","United States",1993,100
"2358","United States",1994,100
"2359","United States",1995,100
"2360","United States",1996,100
"2361","United States",1997,100
"2362","United States",1998,100
"2363","United States",1999,100
"2364","United States",2000,100
"2365","United States",2001,100
"2366","United States",2002,100
"2367","United States",2003,99.9999999999999
"2368","United States",2004,100
"2369","United States",2005,100
"2370","United States",2006,100
"2371","United States",2007,100
"2372","United States",2008,100
"2373","United States",2009,100
"2374","United States",2010,100
"2375","United States",2011,100
"2376","United States",2012,100
"2377","United States",2013,100
"2378","United States",2014,100
"2379","United States",2015,100
"2380","United States",2016,100
"2381","Uruguay",1990,96.29027557
"2382","Uruguay",1991,96.50038147
"2383","Uruguay",1992,96.70998383
"2384","Uruguay",1993,96.91652679
"2385","Uruguay",1994,97.11695099
"2386","Uruguay",1995,97.30819702
"2387","Uruguay",1996,97.48720551
"2388","Uruguay",1997,97.65092468
"2389","Uruguay",1998,97.79627991
"2390","Uruguay",1999,97.92022705
"2391","Uruguay",2000,98.00775146
"2392","Uruguay",2001,98.09456635
"2393","Uruguay",2002,98.16932678
"2394","Uruguay",2003,98.23783112
"2395","Uruguay",2004,98.3061142
"2396","Uruguay",2005,98.38021851
"2397","Uruguay",2006,98.505426
"2398","Uruguay",2007,98.692636
"2399","Uruguay",2008,98.784355
"2400","Uruguay",2009,98.83069611
"2401","Uruguay",2010,98.98948669
"2402","Uruguay",2011,99.17
"2403","Uruguay",2012,99.34907532
"2404","Uruguay",2013,99.611808
"2405","Uruguay",2014,99.657085
"2406","Uruguay",2015,99.70948
"2407","Uruguay",2016,100
"2408","Uzbekistan",1990,98.41362
"2409","Uzbekistan",1991,98.57321167
"2410","Uzbekistan",1992,98.73130798
"2411","Uzbekistan",1993,98.885849
"2412","Uzbekistan",1994,99.03417969
"2413","Uzbekistan",1995,99.17332458
"2414","Uzbekistan",1996,99.6
"2415","Uzbekistan",1997,99.41186523
"2416","Uzbekistan",1998,99.50543213
"2417","Uzbekistan",1999,99.5790863
"2418","Uzbekistan",2000,99.63301849
"2419","Uzbekistan",2001,99.67003632
"2420","Uzbekistan",2002,99.7
"2421","Uzbekistan",2003,99.71368408
"2422","Uzbekistan",2004,99.73215485
"2423","Uzbekistan",2005,99.75644684
"2424","Uzbekistan",2006,99.4900961
"2425","Uzbekistan",2007,99.84310913
"2426","Uzbekistan",2008,99.9029541
"2427","Uzbekistan",2009,99.95549774
"2428","Uzbekistan",2010,99.98669434
"2429","Uzbekistan",2011,99.99790955
"2430","Uzbekistan",2012,99.99990845
"2431","Uzbekistan",2013,100
"2432","Uzbekistan",2014,100
"2433","Uzbekistan",2015,100
"2434","Uzbekistan",2016,100
