"","Country","Year","AgeAtBirth"
"936","United States",1992,26.6
"937","United States",1993,26.7
"938","United States",1994,26.8
"939","United States",1995,26.9
"940","United States",1996,27
"941","United States",1997,27.1
"942","United States",1998,27.2
"943","United States",1999,27.3
"944","United States",2000,27.4
"945","United States",2001,27.5
"946","United States",2002,27.7
"947","United States",2003,27.8
"948","United States",2004,27.9
"949","United States",2005,28
"950","United States",2006,27.9
"951","United States",2007,28
"952","United States",2008,28
"953","United States",2009,28.1
"954","United States",2010,28.3
"955","United States",2011,28.5
"956","United States",2012,28.6
"957","United States",2013,28.8
