"","Country","Year","%of1Member","%of2-3Member","%of4-5Member","%of6+Member"
"1","Afghanistan",2015,0.189425072120154,6.45408762230371,16.8383894631477,76.5180978424284
"2","Albania",2009,6.14726786372316,38.2300576854606,39.9708295028435,15.6518449479728
"3","Angola",2007,4.08294189152662,19.1009191056102,30.1309505665304,46.6851884363328
"4","Angola",2008,4.66107592981325,20.2119829171353,31.171375126857,43.955566026194
"5","Angola",2009,5.41273247154027,20.7316044695702,30.9579666094741,42.897696449415
"6","Angola",2010,6.16438901326705,21.2512260220054,30.7445580920912,41.839826872636
"7","Angola",2011,6.60370504880307,22.8354436408033,32.7880491145848,37.7728021958088
"8","Angola",2012,7.66770209672086,22.2904691268756,30.3177410573255,39.7240877190779
"9","Angola",2013,8.41935863844787,22.8100906793107,30.1043325399426,38.6662181422985
"10","Angola",2014,9.17101518017466,23.3297122317457,29.8909240225597,37.6083485655195
"11","Angola",2015,9.92267172190168,23.8493337841809,29.6775155051768,36.5504789887405
"12","Angola",2016,10.81314626638,23.8958015293437,28.4610405256267,36.8300116786496
"13","Argentina",2001,14.8834684258635,38.7815967153013,31.2400690366333,15.0948658222019
"14","Argentina",2002,15.1869894737898,39.1743559490316,30.9913775858175,14.6472769913609
"15","Argentina",2003,15.490510521716,39.5671151827617,30.7426861350021,14.1996881605202
"16","Argentina",2004,15.7940315696422,39.9598744164916,30.4939946841866,13.7520993296794
"17","Argentina",2005,16.0975526175685,40.3526336502217,30.2453032333711,13.3045104988387
"18","Argentina",2006,16.4010736654947,40.7453928839517,29.9966117825556,12.8569216679979
"19","Argentina",2007,16.7045947134208,41.1381521176818,29.7479203317401,12.4093328371572
"20","Argentina",2008,17.008115761347,41.5309113514118,29.4992288809247,11.9617440063164
"21","Argentina",2009,17.3116368092732,41.9236705851418,29.2505374301092,11.5141551754757
"22","Argentina",2010,17.6151578571993,42.3164298188718,29.0018459792938,11.066566344635
"23","Armenia",2000,8.41059750079177,25.3292989752194,39.6862505729721,26.5738529510167
"24","Armenia",2001,10.5710187479787,25.6967165998134,41.4150187423758,22.317245909832
"25","Armenia",2002,10.5043542041763,27.3888865924685,39.255607428283,22.8511517750724
"26","Armenia",2003,10.8782055531066,28.0230308952057,38.8257377173314,22.2730258343563
"27","Armenia",2004,11.2520569020369,28.6571751979432,38.3958680063797,21.69489989364
"28","Armenia",2005,13.0647953363972,32.0161925750025,36.228802651078,18.6902094375223
"29","Armenia",2006,11.9997595998976,29.9254638034181,37.5361285844765,20.5386480122077
"30","Armenia",2007,12.3736109488281,30.5596081061556,37.1062588735249,19.9605220714916
"31","Armenia",2008,12.7474622977584,31.193752408893,36.6763891625733,19.3823961307753
"32","Armenia",2009,13.1213136466888,31.8278967116305,36.2465194516217,18.8042701900592
"33","Armenia",2010,15.263277616467,35.397348597114,33.6644666247223,15.6749071616967
"34","Armenia",2011,11.5675547510618,29.285329361727,37.9757134640904,21.1714024231209
"35","Aruba",2010,21.3674968437966,46.7691954550671,25.5882015379318,6.2779754389992
"36","Australia",2006,24.3625437389017,49.8947662812016,22.6099222043147,3.13276777558203
"37","Australia",2007,24.3576165167333,49.9064680519047,22.575022191134,3.16089324022796
"38","Australia",2008,24.3526892945649,49.9181698226079,22.5401221779533,3.18901870487387
"39","Australia",2009,24.3477620723965,49.929871593311,22.5052221647726,3.21714416951978
