"","Country","Year","percent_of_gdp_spent_on_education"
"169","Azerbaijan",1993,4.26558431157429
"170","Azerbaijan",1994,4.17618318248304
"171","Azerbaijan",1995,3.33737
"172","Azerbaijan",1996,3.51252
"173","Azerbaijan",1997,3.90797979520931
"174","Azerbaijan",1998,3.38
"175","Azerbaijan",1999,4.21217
"176","Azerbaijan",2000,3.85399
"177","Azerbaijan",2001,3.50342
"178","Azerbaijan",2002,3.15449
"179","Azerbaijan",2003,3.28615
"180","Azerbaijan",2004,3.44766
"181","Azerbaijan",2005,2.97462
"182","Azerbaijan",2006,2.55552
"183","Azerbaijan",2007,2.54928
"184","Azerbaijan",2008,2.44093
"185","Azerbaijan",2009,3.22431
"186","Azerbaijan",2010,2.78062
"187","Azerbaijan",2011,2.43564
"188","Azerbaijan",2012,2.06763
"189","Azerbaijan",2013,2.44213
"190","Azerbaijan",2014,2.63304
"191","Azerbaijan",2015,2.95168
"192","Azerbaijan",2016,2.90341
"193","Bahrain",2006,2.87436
"194","Bahrain",2007,2.575
"195","Bahrain",2008,2.49678
"196","Bahrain",2009,2.63125867629363
"197","Bahrain",2010,2.62181186522263
"198","Bahrain",2011,2.61236505415163
"199","Bahrain",2012,2.64531
"200","Bahrain",2013,2.47688
"201","Bahrain",2014,2.46746
"202","Bahrain",2015,2.66808
"203","Bahrain",2016,2.66671
"204","Barbados",1991,6.60199
"205","Barbados",1992,5.72939544271844
"206","Barbados",1993,5.71339959999999
"207","Barbados",1994,5.69740375728155
"208","Barbados",1995,5.6814079145631
"209","Barbados",1996,5.66541207184465
"210","Barbados",1997,5.64941622912621
"211","Barbados",1998,5.63342038640776
"212","Barbados",1999,4.25458
"213","Barbados",2000,4.62151
"214","Barbados",2001,5.93509
"215","Barbados",2002,5.76335
"216","Barbados",2003,6.12136
"217","Barbados",2004,5.90407
"218","Barbados",2005,5.55696
"219","Barbados",2006,5.50545364466019
"220","Barbados",2007,5.18462
"221","Barbados",2008,5.0861
"222","Barbados",2009,5.31351
"223","Barbados",2010,6.09734
"224","Barbados",2011,5.42547443106796
"225","Barbados",2012,5.2589
"226","Barbados",2013,5.09774
"227","Barbados",2014,6.22941
"228","Barbados",2015,5.36149106019418
"229","Barbados",2016,5.09272
"230","Belarus",1999,6.00001
"231","Belarus",2000,6.19662
"232","Belarus",2001,5.9578687138756
"233","Belarus",2002,5.86947439617225
"234","Belarus",2003,5.7810800784689
"235","Belarus",2004,5.71226
"236","Belarus",2005,5.87103
"237","Belarus",2006,6.07696
"238","Belarus",2007,5.1521
"239","Belarus",2008,5.33910848995214
"240","Belarus",2009,4.51672
"241","Belarus",2010,5.22004
"242","Belarus",2011,4.68479
"243","Belarus",2012,4.95964
"244","Belarus",2013,5.00942
"245","Belarus",2014,4.81831
"246","Belarus",2015,4.78752
"247","Belarus",2016,4.94655
"248","Belgium",1986,4.82646
"249","Belgium",1987,4.55276
"250","Belgium",1988,4.27782
"251","Belgium",1989,4.27733414622645
"252","Belgium",1990,4.35311314150945
"253","Belgium",1991,4.42889213679248
"254","Belgium",1992,4.50467113207549
"255","Belgium",1993,5.34371
"256","Belgium",1994,5.38223
"257","Belgium",1995,2.97275
"258","Belgium",1996,3.02611
"259","Belgium",1997,4.88356610849058
"260","Belgium",1998,4.95934510377361
"261","Belgium",1999,5.03512409905662
"262","Belgium",2000,5.11090309433965
"263","Belgium",2001,5.18668208962265
"264","Belgium",2002,5.26246108490568
"265","Belgium",2003,5.33824008018868
"266","Belgium",2004,5.41401907547171
"267","Belgium",2005,5.48979807075474
"268","Belgium",2006,5.56557706603775
"269","Belgium",2007,5.64135606132078
"270","Belgium",2008,5.71713505660378
"271","Belgium",2009,5.79291405188681
"272","Belgium",2010,5.86869304716981
"273","Belgium",2011,5.94447204245284
"274","Belgium",2012,6.02025103773587
"275","Belgium",2013,6.09603003301888
"276","Belgium",2014,6.63898
"277","Belgium",2015,6.55238
"278","Belize",1999,5.44344
"279","Belize",2000,5.02843
"280","Belize",2001,5.79693
"281","Belize",2002,5.4267293618739
"282","Belize",2003,5.20682
"283","Belize",2004,5.29927
"284","Belize",2005,5.71537911147004
"285","Belize",2006,5.81159569466877
"286","Belize",2007,5.90781227786749
"287","Belize",2008,5.68776
"288","Belize",2009,6.10014
"289","Belize",2010,6.621
"290","Belize",2011,6.29267861066234
"291","Belize",2012,6.38889519386106
"292","Belize",2013,6.21806
"293","Belize",2014,6.47866
"294","Belize",2015,6.72252
"295","Belize",2016,7.06045
"296","Brazil",1995,4.56816
"297","Brazil",1996,3.72548545252837
"298","Brazil",1997,3.8465417611167
"299","Brazil",1998,4.75666
"300","Brazil",1999,3.80062
"301","Brazil",2000,3.94893
"302","Brazil",2001,3.84468
"303","Brazil",2002,3.75037
"304","Brazil",2003,4.57287961264674
"305","Brazil",2004,3.97448
"306","Brazil",2005,4.47908
