"","Country","Year","Fertility","AgeAtBirth","OutOfWedlock","Marriage","Divorce","TwoParents","SingleParent","OtherParent"
"460","Italy","2010","1.4","31.3","21.5","3.7","0.9","88.0","11.4","0.5"
"461","Italy","2011","1.4","31.4","23.4","3.4","0.9","87.4","12.1","0.5"
"462","Italy","2012","1.4","31.4","24.5","3.5","0.9","86.9","12.5","0.6"
"463","Italy","2013","1.4","31.5","26.9","3.2","0.9","87.3","12.1","0.6"
"464","Italy","2014","1.4","31.5","28.8","3.1","0.9","86.6","12.8","0.6"
"465","Italy","2015","1.4",NA,NA,"3.2","1.4","87.4","12.4","0.2"
"466","Italy","2016","1.3",NA,NA,"3.4","1.6","87.1","12.8","0.1"
"467","Italy","2017",NA,NA,NA,NA,NA,"85.4","14.5","0.1"
"468","Japan","1990","1.5","29.0","1.1","5.9","1.3",NA,NA,NA
"469","Japan","1991","1.5","29.0",NA,"6.0","1.4",NA,NA,NA
"470","Japan","1992","1.5","29.1",NA,"6.1","1.5",NA,NA,NA
"471","Japan","1993","1.5","29.2",NA,"6.4","1.5",NA,NA,NA
"472","Japan","1994","1.5","29.3",NA,"6.3","1.6",NA,NA,NA
"473","Japan","1995","1.4","29.4","1.2","6.4","1.6",NA,NA,NA
"474","Japan","1996","1.4","29.5",NA,"6.4","1.7",NA,NA,NA
"475","Japan","1997","1.4","29.5",NA,"6.2","1.8",NA,NA,NA
"476","Japan","1998","1.4","29.6",NA,"6.3","1.9",NA,NA,NA
"477","Japan","1999","1.3","29.6",NA,"6.1","2.0",NA,NA,NA
"478","Japan","2000","1.4","29.7","1.6","6.4","2.1",NA,NA,NA
"479","Japan","2001","1.3","29.7","1.7","6.4","2.3",NA,NA,NA
"480","Japan","2002","1.3","29.7","1.9","6.0","2.3",NA,NA,NA
"481","Japan","2003","1.3","29.8","1.9","5.9","2.3",NA,NA,NA
"482","Japan","2004","1.3","29.9","2.0","5.7","2.2",NA,NA,NA
"483","Japan","2005","1.3","30.0","2.0","5.7","2.1","88.1","11.2","0.7"
"484","Japan","2006","1.3","30.1","2.1","5.8","2.0",NA,NA,NA
"485","Japan","2007","1.3","30.3","2.0","5.7","2.0",NA,NA,NA
"486","Japan","2008","1.4","30.3","2.1","5.8","2.0",NA,NA,NA
"487","Japan","2009","1.4","30.5","2.1","5.6","2.0",NA,NA,NA
"488","Japan","2010","1.4",NA,"2.1","5.5","2.0","87.1","12.2","0.7"
"489","Japan","2011","1.4",NA,"2.2","5.2","1.9",NA,NA,NA
"490","Japan","2012","1.4","30.9","2.2","5.3","1.9",NA,NA,NA
"491","Japan","2013","1.4","31.0","2.2","5.3","1.8",NA,NA,NA
"492","Japan","2014","1.4",NA,"2.3","5.1","1.8",NA,NA,NA
"493","Japan","2015","1.5",NA,NA,"5.1","1.8","87.6","12.2","0.6"
"494","Japan","2016","1.4",NA,NA,"5.0","1.7",NA,NA,NA
"495","Korea","1990","1.6","27.2","0.9","9.3","1.1",NA,NA,NA
"496","Korea","1991","1.7","27.3","1.0","9.6","1.1",NA,NA,NA
"497","Korea","1992","1.8","27.5","1.1","9.6","1.2",NA,NA,NA
"498","Korea","1993","1.7","27.7","1.2","9.0","1.3",NA,NA,NA
"499","Korea","1994","1.7","27.9","1.3","8.7","1.4",NA,NA,NA
"500","Korea","1995","1.6","28.0","1.2","8.7","1.5",NA,NA,NA
"501","Korea","1996","1.6","28.2","0.9","9.4","1.7",NA,NA,NA
"502","Korea","1997","1.5","28.3","0.6","8.4","2.0",NA,NA,NA
"503","Korea","1998","1.4","28.4","0.7","8.0","2.5",NA,NA,NA
"504","Korea","1999","1.4","28.6","0.8","7.6","2.5",NA,NA,NA
"505","Korea","2000","1.5","28.9","0.9","7.0","2.5",NA,NA,NA
"506","Korea","2001","1.3","29.1","1.0","6.7","2.8",NA,NA,NA
"507","Korea","2002","1.2","29.3","1.1","6.3","3.0",NA,NA,NA
"508","Korea","2003","1.2","29.5","1.3","6.3","3.4",NA,NA,NA
"509","Korea","2004","1.2","29.8","1.3","6.4","2.9",NA,NA,NA
"510","Korea","2005","1.1","30.0","1.5","6.5","2.6",NA,NA,NA
"511","Korea","2006","1.1","30.2","1.5","6.8","2.5",NA,NA,NA
"512","Korea","2007","1.3","30.3","1.6","7.0","2.5",NA,NA,NA
"513","Korea","2008","1.2","30.5","1.8","6.6","2.4",NA,NA,NA
"514","Korea","2009","1.1","30.7","2.0","6.2","2.5",NA,NA,NA
"515","Korea","2010","1.2","31.0","2.1","6.5","2.3",NA,NA,NA
"516","Korea","2011","1.2",NA,"2.1","6.6","2.3",NA,NA,NA
"517","Korea","2012","1.3","31.3","2.1","6.5","2.3",NA,NA,NA
"518","Korea","2013","1.2","31.5","2.1","6.4","2.3",NA,NA,NA
"519","Korea","2014","1.2",NA,"1.9","6.0","2.3",NA,NA,NA
"520","Korea","2015","1.2",NA,NA,"5.9","2.1",NA,NA,NA
"521","Korea","2016","1.2",NA,NA,"5.5","2.1",NA,NA,NA
"522","Latvia","1990","2.0",NA,"16.9","8.9","4.0",NA,NA,NA
"523","Latvia","1991","1.9",NA,"18.4","8.4","4.2",NA,NA,NA
"524","Latvia","1992","1.7",NA,"19.6","7.2","5.6",NA,NA,NA
"525","Latvia","1993","1.5",NA,"23.0","5.7","4.0",NA,NA,NA
"526","Latvia","1994","1.4",NA,"26.4","4.6","3.3",NA,NA,NA
"527","Latvia","1995","1.3",NA,"29.9","4.5","3.1",NA,NA,NA
"528","Latvia","1996","1.2",NA,"33.1","3.9","2.5",NA,NA,NA
"529","Latvia","1997","1.1",NA,"34.8","4.0","2.5",NA,NA,NA
"530","Latvia","1998","1.1",NA,"37.1","4.0","2.6",NA,NA,NA
"531","Latvia","1999","1.2",NA,"39.1","3.9","2.5",NA,NA,NA
"532","Latvia","2000","1.3","26.7","40.4","3.9","2.6",NA,NA,NA
"533","Latvia","2001","1.2","26.9","42.1","4.0","2.5",NA,NA,NA
"534","Latvia","2002","1.3","27.1","43.1","4.2","2.6",NA,NA,NA
"535","Latvia","2003","1.3","27.2","44.3","4.4","2.1",NA,NA,NA
"536","Latvia","2004","1.3","27.4","45.3","4.6","2.3",NA,NA,NA
"537","Latvia","2005","1.4","27.7","44.7","5.6","2.8","65.8","31.7","2.5"
"538","Latvia","2006","1.5","27.8","43.8","6.6","3.3","65.2","31.0","3.8"
"539","Latvia","2007","1.5","27.9","43.2","7.0","3.4","65.4","31.0","3.6"
"540","Latvia","2008","1.6","28.1","43.2","5.9","2.9","66.4","30.3","3.3"
"541","Latvia","2009","1.5","28.4","43.5","4.6","2.4","66.0","30.5","3.5"
"542","Latvia","2010","1.4","28.6","44.4","4.4","2.4","64.7","31.8","3.5"
"543","Latvia","2011","1.3","28.7","44.6","5.2","4.0","64.1","32.5","3.3"
"544","Latvia","2012","1.4","28.8","45.0","5.5","3.6","68.7","28.7","2.6"
"545","Latvia","2013","1.5","29.0","44.6","5.7","3.5","66.8","30.7","2.5"
"546","Latvia","2014","1.7","29.2","44.0","6.3","3.1","67.8","30.6","1.6"
"547","Latvia","2015","1.7",NA,NA,"6.9","2.6","70.5","27.9","1.7"
"548","Latvia","2016","1.7",NA,NA,"6.6","3.1","68.5","29.4","2.0"
"549","Latvia","2017",NA,NA,NA,NA,NA,"69.5","27.6","2.9"
"550","Lithuania","1990","2.0","25.9","7.0","9.8","3.4",NA,NA,NA
"551","Lithuania","1991","2.0","25.7","7.0","9.2","4.1",NA,NA,NA
"552","Lithuania","1992","2.0","25.6","7.9","8.1","3.8",NA,NA,NA
"553","Lithuania","1993","1.7","25.7","9.1","6.4","3.8",NA,NA,NA
"554","Lithuania","1994","1.6","25.5","10.9","6.4","3.0",NA,NA,NA
"555","Lithuania","1995","1.6","25.6","12.8","6.1","2.8",NA,NA,NA
"556","Lithuania","1996","1.5","25.8","14.3","5.7","3.1",NA,NA,NA
"557","Lithuania","1997","1.5","26.0","16.5","5.3","3.2",NA,NA,NA
"558","Lithuania","1998","1.5","26.3","18.0","5.2","3.3",NA,NA,NA
"559","Lithuania","1999","1.5","26.5","19.8","5.1","3.2",NA,NA,NA
"560","Lithuania","2000","1.4","26.6","22.6","4.8","3.1",NA,NA,NA
"561","Lithuania","2001","1.3","26.8","25.4","4.5","3.2",NA,NA,NA
"562","Lithuania","2002","1.2","26.8","28.0","4.7","3.1",NA,NA,NA
"563","Lithuania","2003","1.3","27.1","29.5","5.0","3.1",NA,NA,NA
"564","Lithuania","2004","1.3","27.3","28.5","5.7","3.3",NA,NA,NA
"565","Lithuania","2005","1.3","27.5","28.0","6.0","3.3","75.2","23.5","1.2"
"566","Lithuania","2006","1.3","27.6","28.8","6.5","3.4","76.7","21.8","1.4"
"567","Lithuania","2007","1.4","27.8","27.8","7.1","3.5","77.1","21.1","1.9"
"568","Lithuania","2008","1.5","28.1","26.6","7.5","3.2","77.0","20.1","2.9"
"569","Lithuania","2009","1.5","28.5","25.4","6.5","2.9","76.1","21.1","2.8"
"570","Lithuania","2010","1.5","28.9","25.7","6.0","3.2","75.3","21.9","2.8"
"571","Lithuania","2011","1.6","28.9","27.7","6.3","3.4","74.9","22.9","2.2"
"572","Lithuania","2012","1.6","29.0","28.8","6.9","3.5","76.7","21.6","1.7"
"573","Lithuania","2013","1.6","29.2","29.5","6.9","3.4","72.7","25.3","2.0"
"574","Lithuania","2014","1.6","29.4","29.0","7.6","3.3","76.3","21.3","2.4"
"575","Lithuania","2015","1.7",NA,NA,"7.6","3.2","75.3","22.2","2.5"
"576","Lithuania","2016","1.7",NA,NA,"7.4","3.1","75.4","23.3","1.3"
"577","Lithuania","2017",NA,NA,NA,NA,NA,"73.6","25.0","1.4"
"578","Luxembourg","1990","1.6","28.4","12.8","6.1","2.0",NA,NA,NA
"579","Luxembourg","1991","1.6","28.4","12.2","6.7","2.0",NA,NA,NA
"580","Luxembourg","1992","1.7","28.6","12.7","6.4","1.8",NA,NA,NA
"581","Luxembourg","1993","1.7","28.5","12.9","6.0","1.9",NA,NA,NA
"582","Luxembourg","1994","1.7","28.7","12.7","5.8","1.7",NA,NA,NA
"583","Luxembourg","1995","1.7","28.9","13.1","5.1","1.8",NA,NA,NA
"584","Luxembourg","1996","1.8","29.2","15.0","5.1","2.0",NA,NA,NA
"585","Luxembourg","1997","1.7","29.2","16.8","4.8","2.4",NA,NA,NA
"586","Luxembourg","1998","1.7","29.3","17.5","4.8","2.4",NA,NA,NA
"587","Luxembourg","1999","1.7","29.3","18.6","4.9","2.4",NA,NA,NA
"588","Luxembourg","2000","1.8","29.3","21.9","4.9","2.4",NA,NA,NA
"589","Luxembourg","2001","1.7","29.3","22.3","4.5","2.3",NA,NA,NA
"590","Luxembourg","2002","1.6","29.5","23.2","4.5","2.4",NA,NA,NA
"591","Luxembourg","2003","1.6","29.6","25.0","4.4","2.3","86.4","13.0","0.5"
"592","Luxembourg","2004","1.7","29.7","26.1","4.4","2.3","90.8","8.9","0.3"
"593","Luxembourg","2005","1.6","29.8","27.2","4.4","2.2","91.4","8.5","0.0"
"594","Luxembourg","2006","1.6","30.0","28.8","4.1","2.5","90.6","9.3","0.1"
"595","Luxembourg","2007","1.6","30.2","29.2","4.1","2.3","89.7","10.2","0.1"
"596","Luxembourg","2008","1.6","30.5","30.2","3.9","2.0","90.2","9.7","0.1"
"597","Luxembourg","2009","1.6","30.7","32.1","3.5","2.1","87.3","12.6","0.1"
"598","Luxembourg","2010","1.6","30.8","34.0","3.5","2.1","88.2","11.6","0.1"
"599","Luxembourg","2011","1.5","30.8","34.1","3.3","2.3","88.9","11.0","0.0"
"600","Luxembourg","2012","1.6","31.0","37.1","3.4","2.0","88.1","11.8","0.0"
"601","Luxembourg","2013","1.6","31.3","37.8","3.2","2.1","86.2","13.8","0.0"
"602","Luxembourg","2014","1.5","31.4","39.1","3.0","2.6","84.4","15.6","0.0"
"603","Luxembourg","2015","1.5",NA,NA,"3.6","2.4","83.5","16.4","0.1"
"604","Luxembourg","2016","1.4",NA,NA,"3.2","2.1","84.0","14.7","1.3"
"605","Mexico","1990","3.4","27.8","33.2","7.4",NA,NA,NA,NA
"606","Mexico","1991","3.3","27.7","35.2","7.4",NA,NA,NA,NA
"607","Mexico","1992","3.2","28.0","36.1","7.4","0.6",NA,NA,NA
"608","Mexico","1993","3.1","27.9","37.8","7.2","0.4",NA,NA,NA
"609","Mexico","1994","3.0","27.8","37.8","7.2","0.4",NA,NA,NA
"610","Mexico","1995","3.0","27.8","37.1","7.0","0.4",NA,NA,NA
"611","Mexico","1996","2.9","27.8","38.1","7.0","0.4",NA,NA,NA
"612","Mexico","1997","2.8","27.7","39.3","7.3","0.4",NA,NA,NA
"613","Mexico","1998","2.8","27.5","40.0","7.2","0.5",NA,NA,NA
"614","Mexico","1999","2.7","27.4","41.0","7.5","0.5",NA,NA,NA
"615","Mexico","2000","2.6","27.3","41.6","7.0","0.5",NA,NA,NA
"616","Mexico","2001","2.6","27.2","44.0","6.5","0.6",NA,NA,NA
"617","Mexico","2002","2.6","27.2","45.7","6.0","0.6",NA,NA,NA
"618","Mexico","2003","2.5","27.2","46.3","5.6","0.6",NA,NA,NA
"619","Mexico","2004","2.5","27.0","48.2","5.7","0.7",NA,NA,NA
"620","Mexico","2005","2.5","27.0","50.1","5.6","0.7",NA,NA,NA
"621","Mexico","2006","2.4","27.0","50.7","5.4","0.7",NA,NA,NA
"622","Mexico","2007","2.4","26.9","53.4","5.4","0.7",NA,NA,NA
"623","Mexico","2008","2.3","26.8","55.4","5.3","0.8",NA,NA,NA
"624","Mexico","2009","2.3","26.7","58.3","5.0","0.8",NA,NA,NA
"625","Mexico","2010","2.3",NA,"59.4","5.0","0.8","78.4","18.1","3.6"
"626","Mexico","2011","2.3","26.6","60.7","4.9","0.8",NA,NA,NA
"627","Mexico","2012","2.2",NA,"62.3","5.0","0.9",NA,NA,NA
"628","Mexico","2013","2.2",NA,"63.7","4.9","0.9",NA,NA,NA
"629","Mexico","2014","2.2",NA,"64.9","4.8","0.9",NA,NA,NA
"630","Mexico","2015","2.2",NA,NA,"4.6","1.0",NA,NA,NA
"631","Mexico","2016","2.2",NA,NA,"4.4",NA,NA,NA,NA
"632","Netherlands","1990","1.6","29.3","11.4","6.5","1.9",NA,NA,NA
"633","Netherlands","1991","1.6","29.5","12.0","6.4","1.9",NA,NA,NA
"634","Netherlands","1992","1.6","29.7","12.4","6.2","2.0",NA,NA,NA
"635","Netherlands","1993","1.6","29.8","13.1","5.8","2.0",NA,NA,NA
"636","Netherlands","1994","1.6","29.9","14.3","5.4","2.4",NA,NA,NA
"637","Netherlands","1995","1.5","30.0","15.5","5.3","2.2",NA,NA,NA
"638","Netherlands","1996","1.5","30.2","17.0","5.5","2.2",NA,NA,NA
"639","Netherlands","1997","1.6","30.2","19.2","5.4","2.2",NA,NA,NA
"640","Netherlands","1998","1.6","30.3","20.8","5.5","2.1",NA,NA,NA
"641","Netherlands","1999","1.7","30.3","22.7","5.7","2.1",NA,NA,NA
"642","Netherlands","2000","1.7","30.3","24.9","5.5","2.2",NA,NA,NA
"643","Netherlands","2001","1.7","30.3","27.2","5.0","2.3",NA,NA,NA
"644","Netherlands","2002","1.7","30.4","29.1","5.2","2.1",NA,NA,NA
"645","Netherlands","2003","1.7","30.4","30.7","4.9","1.9",NA,NA,NA
"646","Netherlands","2004","1.7","30.5","32.5","4.4","1.9",NA,NA,NA
"647","Netherlands","2005","1.7","30.6","34.9","4.4","2.0","89.3","10.4","0.3"
"648","Netherlands","2006","1.7","30.6","37.1","4.4","1.9","88.8","10.9","0.3"
"649","Netherlands","2007","1.7","30.6","39.5","4.3","2.0","88.1","11.6","0.3"
"650","Netherlands","2008","1.8","30.7","41.2","4.5","2.0","87.5","12.1","0.5"
"651","Netherlands","2009","1.8","30.7","43.3","4.4","1.9","88.0","11.6","0.4"
"652","Netherlands","2010","1.8","30.8","44.3","4.5","2.0","87.2","12.2","0.6"
"653","Netherlands","2011","1.8","30.9","45.3","4.3","2.0","86.7","12.5","0.8"
"654","Netherlands","2012","1.7","30.9","46.6","4.2","2.1","86.8","12.6","0.6"
"655","Netherlands","2013","1.7","31.0","47.4","3.8","2.0","86.4","13.1","0.5"
"656","Netherlands","2014","1.7","31.1","48.7","3.9","2.1","86.2","13.3","0.5"
"657","Netherlands","2015","1.7",NA,NA,"3.8","2.0","86.4","12.7","0.8"
"658","Netherlands","2016","1.7",NA,NA,"3.8","2.0","86.6","13.1","0.3"
"659","Netherlands","2017",NA,NA,NA,NA,NA,"86.9","12.7","0.4"
"660","New Zealand","1990","2.2","27.8","34.0","6.9",NA,NA,NA,NA
"661","New Zealand","1991","2.1","27.9","35.7","6.3",NA,NA,NA,NA
"662","New Zealand","1992","2.1","28.1","36.7","5.9","2.7",NA,NA,NA
"663","New Zealand","1993","2.0","28.2","38.0","5.8",NA,NA,NA,NA
"664","New Zealand","1994","2.0","28.3","38.7","5.7",NA,NA,NA,NA
"665","New Zealand","1995","2.0","28.3","40.7","5.6","2.6",NA,NA,NA
"666","New Zealand","1996","2.0","28.4","41.7","5.5","2.7",NA,NA,NA
"667","New Zealand","1997","2.0","28.6","41.8","5.3","2.6",NA,NA,NA
"668","New Zealand","1998","1.9","28.8","42.5","5.3","2.6",NA,NA,NA
"669","New Zealand","1999","2.0","28.9","42.8","5.5","2.6",NA,NA,NA
"670","New Zealand","2000","2.0","29.0","43.2","5.4","2.5",NA,NA,NA
"671","New Zealand","2001","2.0","29.0","43.7","5.1","2.5",NA,NA,NA
"672","New Zealand","2002","1.9","29.3","43.6","5.2","2.6",NA,NA,NA
"673","New Zealand","2003","1.9","29.4","44.0","5.3","2.6",NA,NA,NA
"674","New Zealand","2004","2.0","29.4","44.8","5.1","2.6",NA,NA,NA
"675","New Zealand","2005","2.0","29.5","45.2","5.0","2.4",NA,NA,NA
"676","New Zealand","2006","2.0","29.5","47.2","5.2","2.4","76.3","23.7",NA
"677","New Zealand","2007","2.2","29.5","47.2","5.2","2.3",NA,NA,NA
"678","New Zealand","2008","2.2","29.5","48.2","5.2","2.3",NA,NA,NA
"679","New Zealand","2009","2.1","29.6","48.6","5.1","2.0",NA,NA,NA
"680","New Zealand","2010","2.2","29.7","48.9","4.9","2.0",NA,NA,NA
"681","New Zealand","2011","2.1","29.8","47.6","4.7","1.9",NA,NA,NA
"682","New Zealand","2012","2.1","29.8","47.7","4.7","2.0",NA,NA,NA
"683","New Zealand","2013","2.0","30.0","47.3","4.4","1.9",NA,NA,NA
"684","New Zealand","2014","1.9",NA,"46.7","4.4","1.8",NA,NA,NA
"685","New Zealand","2015","2.0",NA,NA,"4.3","1.9",NA,NA,NA
"686","New Zealand","2016","1.9",NA,NA,"4.3","1.7",NA,NA,NA
"687","Norway","1990","1.9","28.1","38.6","5.2","2.4",NA,NA,NA
"688","Norway","1991","1.9","28.3","40.9","4.7","2.4",NA,NA,NA
"689","Norway","1992","1.9","28.4","42.9","4.5","2.4",NA,NA,NA
"690","Norway","1993","1.9","28.6","44.4","4.5","2.5",NA,NA,NA
"691","Norway","1994","1.9","28.7","45.9","4.8","2.5",NA,NA,NA
"692","Norway","1995","1.9","28.8","47.6","5.0","2.4",NA,NA,NA
"693","Norway","1996","1.9","28.9","48.3","5.3","2.3",NA,NA,NA
"694","Norway","1997","1.9","29.1","48.7","5.4","2.3",NA,NA,NA
"695","Norway","1998","1.8","29.2","49.0","5.3","2.1",NA,NA,NA
"696","Norway","1999","1.8","29.2","49.1","5.3","2.0",NA,NA,NA
"697","Norway","2000","1.9","29.3","49.6","5.0","2.2",NA,NA,NA
"698","Norway","2001","1.8","29.4","49.7","4.4","2.3",NA,NA,NA
"699","Norway","2002","1.8","29.5","50.3","4.5","2.3",NA,NA,NA
"700","Norway","2003","1.8","29.7","50.0","4.9","2.4","80.8","17.7","1.6"
"701","Norway","2004","1.8","29.7","51.4","4.1","2.4","82.7","16.3","1.0"
"702","Norway","2005","1.8","29.8","51.8","4.8","2.4","82.1","17.2","0.7"
"703","Norway","2006","1.9","29.8","53.0","4.7","2.3","78.5","19.9","1.5"
"704","Norway","2007","1.9","29.9","54.5","5.0","2.2","78.3","20.6","1.1"
"705","Norway","2008","2.0","29.9","55.0","5.3","2.1","82.0","17.4","0.6"
"706","Norway","2009","2.0","30.0","55.1","5.0","2.1","79.5","19.5","1.0"
"707","Norway","2010","1.9","30.1","54.8","4.8","2.1","78.0","20.6","1.4"
"708","Norway","2011","1.9","30.3","55.0","4.6","2.1","80.8","18.2","1.0"
"709","Norway","2012","1.9","30.3","54.9","4.8","2.0","82.1","16.8","1.0"
"710","Norway","2013","1.8","30.5","55.2","4.7","2.0","80.9","18.2","1.0"
"711","Norway","2014","1.8","30.6",NA,"4.6","1.9","82.7","15.9","1.4"
"712","Norway","2015","1.7",NA,NA,"4.5","1.9","78.4","19.8","1.8"
"713","Norway","2016","1.7",NA,NA,"4.5","1.9","77.0","21.6","1.4"
"714","Poland","1990","2.0","26.2","6.2","6.7","1.1",NA,NA,NA
"715","Poland","1991","2.0","26.3","6.6","6.1","0.9",NA,NA,NA
"716","Poland","1992","1.9","26.4","7.2","5.7","0.8",NA,NA,NA
"717","Poland","1993","1.8","26.6","8.2","5.4","0.7",NA,NA,NA
"718","Poland","1994","1.7","26.8","9.0","5.4","0.8",NA,NA,NA
"719","Poland","1995","1.5","26.9","9.5","5.4","1.0",NA,NA,NA
"720","Poland","1996","1.5","27.0","10.2","5.3","1.0",NA,NA,NA
"721","Poland","1997","1.5","27.1","11.0","5.3","1.1",NA,NA,NA
"722","Poland","1998","1.4","27.2","11.6","5.4","1.2",NA,NA,NA
"723","Poland","1999","1.4","27.3","11.7","5.7","1.1",NA,NA,NA
"724","Poland","2000","1.4","27.3","12.1","5.5","1.1",NA,NA,NA
"725","Poland","2001","1.3","27.6","13.1","5.1","1.2",NA,NA,NA
"726","Poland","2002","1.2","27.7","14.4","5.0","1.2",NA,NA,NA
"727","Poland","2003","1.2","27.9","15.8","5.1","1.3",NA,NA,NA
"728","Poland","2004","1.2","28.0","17.1","5.0","1.5",NA,NA,NA
"729","Poland","2005","1.2","28.2","18.5","5.4","1.8","86.6","12.1","1.2"
"730","Poland","2006","1.3","28.3","18.9","5.9","1.9","87.5","11.8","0.7"
"731","Poland","2007","1.3","28.4","19.5","6.5","1.7","86.7","12.5","0.8"
"732","Poland","2008","1.4","28.5","19.9","6.8","1.7","87.2","12.0","0.8"
"733","Poland","2009","1.4","28.6","20.2","6.6","1.7","86.2","12.9","0.8"
"734","Poland","2010","1.4","28.8","20.6","6.0","1.6","86.8","12.5","0.7"
"735","Poland","2011","1.3","28.9","21.2","5.4","1.7","87.4","12.0","0.7"
"736","Poland","2012","1.3","28.9","22.3","5.4","1.7","87.8","11.6","0.6"
"737","Poland","2013","1.3","29.0","23.4","4.7","1.7","89.4","10.0","0.6"
"738","Poland","2014","1.3","29.1","24.2","5.0","1.7","89.3","9.9","0.8"
"739","Poland","2015","1.3",NA,NA,"5.0","1.8","89.4","9.8","0.8"
"740","Poland","2016","1.4",NA,NA,"5.1","1.7","89.5","9.9","0.6"
"741","Poland","2017",NA,NA,NA,NA,NA,"89.7","9.9","0.4"
"742","Portugal","1990","1.6","27.3","14.7","7.2","0.9",NA,NA,NA
"743","Portugal","1991","1.6","27.5","15.6","7.2","1.1",NA,NA,NA
"744","Portugal","1992","1.5","27.6","16.1","7.0","1.2",NA,NA,NA
"745","Portugal","1993","1.5","27.7","16.9","6.8","1.2",NA,NA,NA
"746","Portugal","1994","1.4","27.8","17.8","6.6","1.4",NA,NA,NA
"747","Portugal","1995","1.4","28.0","18.6","6.6","1.2",NA,NA,NA
"748","Portugal","1996","1.4","28.1","18.6","6.3","1.3",NA,NA,NA
"749","Portugal","1997","1.5","28.2","19.5","6.5","1.4",NA,NA,NA
"750","Portugal","1998","1.5","28.4","20.1","6.6","1.5",NA,NA,NA
"751","Portugal","1999","1.5","28.5","20.8","6.7","1.7",NA,NA,NA
"752","Portugal","2000","1.6","28.6","22.2","6.2","1.9",NA,NA,NA
"753","Portugal","2001","1.5","28.7","23.8","5.6","1.8",NA,NA,NA
"754","Portugal","2002","1.5","28.9","25.5","5.4","2.7",NA,NA,NA
"755","Portugal","2003","1.4","29.0","26.9","5.1","2.2",NA,NA,NA
"756","Portugal","2004","1.4","29.2","29.1","4.7","2.2","85.0","11.9","3.0"
"757","Portugal","2005","1.4","29.3","30.7","4.6","2.2","85.6","11.6","2.7"
"758","Portugal","2006","1.4","29.4","31.6","4.5","2.3","85.6","11.7","2.7"
"759","Portugal","2007","1.4","29.4","33.6","4.4","2.4","83.8","13.3","2.8"
"760","Portugal","2008","1.4","29.6","36.2","4.1","2.5","83.5","14.4","2.1"
"761","Portugal","2009","1.4","29.7","38.1","3.8","2.5","83.1","15.2","1.7"
"762","Portugal","2010","1.4","29.8","41.3","3.8","2.6","83.1","14.8","2.2"
"763","Portugal","2011","1.4","30.1","42.8","3.4","2.5","81.7","16.3","2.0"
"764","Portugal","2012","1.3","30.2","45.6","3.3","2.4","78.8","18.1","3.2"
"765","Portugal","2013","1.2","30.4","47.6","3.1","2.2","77.8","19.5","2.7"
"766","Portugal","2014","1.2","30.7","49.3","3.0","2.1","77.7","20.0","2.3"
"767","Portugal","2015","1.3",NA,NA,"3.1","2.3","76.7","21.3","2.1"
"768","Portugal","2016","1.4",NA,NA,"3.1","2.2","78.4","20.0","1.6"
"769","Slovak Republic","1990","2.1","25.1","7.6","7.6","1.7",NA,NA,NA
"770","Slovak Republic","1991","2.0","25.0","8.9","6.2","1.5",NA,NA,NA
"771","Slovak Republic","1992","2.0","25.1","9.8","6.4","1.5",NA,NA,NA
"772","Slovak Republic","1993","1.9","25.3","10.6","5.8","1.5",NA,NA,NA
"773","Slovak Republic","1994","1.7","25.4","11.7","5.3","1.6",NA,NA,NA
"774","Slovak Republic","1995","1.5","25.6","12.6","5.1","1.7",NA,NA,NA
"775","Slovak Republic","1996","1.5","25.8","14.0","5.1","1.7",NA,NA,NA
"776","Slovak Republic","1997","1.4","26.0","15.1","5.2","1.7",NA,NA,NA
"777","Slovak Republic","1998","1.4","26.2","15.3","5.1","1.7",NA,NA,NA
"778","Slovak Republic","1999","1.3","26.4","16.9","5.1","1.8",NA,NA,NA
"779","Slovak Republic","2000","1.3","26.6","18.3","4.8","1.7",NA,NA,NA
"780","Slovak Republic","2001","1.2","26.8","19.8","4.4","1.8",NA,NA,NA
"781","Slovak Republic","2002","1.2","27.0","21.6","4.7","2.0",NA,NA,NA
"782","Slovak Republic","2003","1.2","27.3","23.3","4.8","2.0",NA,NA,NA
"783","Slovak Republic","2004","1.2","27.4","24.8","5.2","2.0",NA,NA,NA
"784","Slovak Republic","2005","1.3","27.7","26.0","4.9","2.2","88.6","11.0","0.5"
"785","Slovak Republic","2006","1.2","27.9","27.5","4.8","2.4","88.3","10.6","1.1"
"786","Slovak Republic","2007","1.3","28.1","28.8","5.1","2.3","87.0","11.9","1.0"
"787","Slovak Republic","2008","1.3","28.3","30.1","5.3","2.4","88.3","11.1","0.7"
"788","Slovak Republic","2009","1.4","28.5","31.6","4.9","2.4","88.0","11.4","0.6"
"789","Slovak Republic","2010","1.4","28.6","33.0","4.7","2.2","86.1","13.2","0.7"
"790","Slovak Republic","2011","1.5","28.9","34.0","4.7","2.1","86.7","12.9","0.4"
"791","Slovak Republic","2012","1.3","28.7","35.4","4.8","2.0","86.7","12.9","0.4"
"792","Slovak Republic","2013","1.3","28.8","37.0","4.7","2.0","86.0","13.5","0.4"
"793","Slovak Republic","2014","1.4","28.8","38.9","4.9","1.9","86.9","11.2","2.0"
"794","Slovak Republic","2015","1.4",NA,NA,"5.3","1.8","87.2","12.4","0.4"
