"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"RUS","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SAU","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"SGP","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SVN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ZAF","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SDN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"TZA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"THA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"UKR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ARE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"URY","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"VNM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"ZMB","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"SRB","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"AFG","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"AGO","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"BHR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"BEN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"BTN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"BOL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"BWA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"BFA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"BDI","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"CMR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"CAF","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"TCD","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"COG","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"CRI","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"CIV","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"CUB","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"PRK","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"COD","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"DOM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"ECU","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SLV","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"GNQ","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ERI","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"FJI","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
