"","Country","Year","OutOfWedlock"
"940","United States",2005,36.9
"941","United States",2006,38.5
"942","United States",2007,39.7
"943","United States",2008,40.6
"944","United States",2009,41
"945","United States",2010,40.8
"946","United States",2011,40.7
"947","United States",2012,40.7
"948","United States",2013,40.6
"949","United States",2014,40.2
