"","Country","Year","male_population","male_suicide_rate","female_population","female_suicide_rate","population","total_suicide_rate"
"459","Colombia",1996,16622405,5.72720975093556e-05,17081233,1.51628398254388e-05,33703637,3.59011699538539e-05
"460","Colombia",1997,16930533,5.68204202431193e-05,17408294,1.61991749450004e-05,34338826,3.61980925032207e-05
"461","Colombia",1998,17246137,9.00491512968962e-05,17740904,2.82398236301825e-05,34987040,5.86788708047323e-05
"462","Colombia",1999,17559060,9.40255343964882e-05,18070350,2.73375999911457e-05,35629409,6.0175008796806e-05
"463","Colombia",2000,17861904,0.000101668892633171,18390440,2.95805864351261e-05,36252343,6.5071656196125e-05
"464","Colombia",2001,18169015,0.000102151932837306,18715415,2.98149947516526e-05,36884429,6.54205599875221e-05
"465","Colombia",2002,18456848,9.83916647089471e-05,19021430,2.97033398645633e-05,37478277,6.35034529468897e-05
"466","Colombia",2003,18730679,9.03864723750805e-05,19313836,2.99267323177022e-05,38044514,5.96669469874158e-05
"467","Colombia",2004,19001409,9.17826672748321e-05,19603309,2.5607921601399e-05,38604717,5.81535152815652e-05
"468","Colombia",2005,19275992,8.49761713949663e-05,19896800,2.34208515942262e-05,39172791,5.36852224800628e-05
"469","Colombia",2006,19533524,8.79513599287051e-05,20175154,2.28498875398919e-05,39708677,5.48494728242898e-05
"470","Colombia",2007,19806934,8.72421748868351e-05,20468274,2.22295245803334e-05,40275207,5.41772510318817e-05
"471","Colombia",2008,20089388,8.82555506419608e-05,20769743,2.16179853549464e-05,40859130,5.43574961091927e-05
"472","Colombia",2009,20368413,8.8519414841009e-05,21067762,2.12647171541049e-05,41436174,5.43003801461013e-05
"473","Colombia",2010,20635098,8.29169796043615e-05,21354007,1.86381881395843e-05,41989104,5.0203500412869e-05
"474","Colombia",2011,20899845,7.95699681026343e-05,21638462,1.76999640732322e-05,42538306,4.80743168286955e-05
"475","Colombia",2012,21148585,8.19440165855068e-05,21907281,1.77110066739912e-05,43055865,4.92383557965912e-05
"476","Colombia",2013,21383542,7.7816855598572e-05,22162758,1.83190196815757e-05,43546299,4.75126485490765e-05
"477","Colombia",2014,21610899,8.12552962280745e-05,22410903,1.65990634112334e-05,44021801,4.83169691308177e-05
"478","Colombia",2015,21834702,8.47733117676623e-05,22655727,2.13191128229961e-05,44490428,5.24382458177296e-05
"479","Costa Rica",1985,1127601,0.000100212752560525,1108601,1.53346424908511e-05,2236201,5.76871220431437e-05
"480","Costa Rica",1986,1156201,0.00010292328064065,1136701,1.23163435239346e-05,2292901,5.75689922940415e-05
"481","Costa Rica",1987,1210501,8.09582148217969e-05,1190201,1.93244670438018e-05,2400701,4.99854000977215e-05
"482","Costa Rica",1988,1243001,9.81495590108133e-05,1222201,1.47275284507213e-05,2465201,5.6384854622402e-05
"483","Costa Rica",1989,1290001,0.000106201468060877,1266001,2.52764413298252e-05,2556001,6.57276738154641e-05
"484","Costa Rica",1990,1327001,0.000105501050865825,1300801,1.460638483519e-05,2627801,6.01263185454302e-05
"485","Costa Rica",1991,1364001,7.84456902890834e-05,1340001,1.49253619959985e-05,2704001,4.65976159032486e-05
"486","Costa Rica",1992,1402701,9.05396089401804e-05,1375701,1.74456513442965e-05,2778401,5.39878872776104e-05
"487","Costa Rica",1993,1441101,9.57601167440728e-05,1412601,1.98215915180578e-05,2853701,5.7819652444317e-05
"488","Costa Rica",1994,1479101,9.05955712287396e-05,1450001,2.06896409036959e-05,2929101,5.56484737125828e-05
"489","Costa Rica",1995,1586701,0.000109661492618962,1548501,2.38940756253951e-05,3135201,6.69813514348841e-05
"490","Costa Rica",1996,1601610,0.000116133141026842,1590838,1.57149879497472e-05,3192447,6.57802619745919e-05
"491","Costa Rica",1997,1644582,9.72891591906028e-05,1634979,1.77372308757483e-05,3279560,5.73247630779739e-05
"492","Costa Rica",1998,1687077,0.000119140975782374,1678651,1.42971945925627e-05,3365727,6.6553229064627e-05
"493","Costa Rica",1999,1728622,0.000122062544616463,1721303,1.3942925795168e-05,3449924,6.78275811293234e-05
"494","Costa Rica",2000,1768898,0.000119848628920379,1762525,1.64536673238677e-05,3531422,6.79612915137302e-05
"495","Costa Rica",2001,1806223,9.46726954534407e-05,1800629,1.61054831395029e-05,3606851,5.51727809105505e-05
"496","Costa Rica",2002,1842691,0.000128616246565485,1837683,2.17665397133238e-05,3680373,7.49923988682669e-05
"497","Costa Rica",2003,1878202,0.000140027536974191,1873671,2.88204279193092e-05,3751872,8.42246217354963e-05
"498","Costa Rica",2004,1912464,0.00014745375599227,1908395,2.35800240516245e-05,3820858,8.53211503803596e-05
"499","Costa Rica",2005,1945321,0.000119260523070486,1941777,2.16296722023178e-05,3887097,7.023236106534e-05
"500","Costa Rica",2006,1978471,0.000149610482033853,1975447,2.83480143987665e-05,3953917,8.87727284108392e-05
"501","Costa Rica",2007,2008815,0.000113001943932119,2006428,2.2427916675804e-05,4015242,6.74928186146688e-05
"502","Costa Rica",2008,2037101,0.000111923758321261,2035462,1.71951134435327e-05,4072562,6.43329677976664e-05
"503","Costa Rica",2009,2064646,0.000114789654013327,2063815,2.08352008295317e-05,4128460,6.75796786210839e-05
"504","Costa Rica",2010,2092323,0.000128565235864635,2092342,2.10290669498581e-05,4184664,7.45579573413779e-05
"505","Costa Rica",2011,2117227,0.000124691400591434,2118289,2.54922723008995e-05,4235515,7.48433189352416e-05
"506","Costa Rica",2012,2144069,0.000121731156973027,2146143,2.00359435508258e-05,4290211,7.06258969547185e-05
"507","Costa Rica",2013,2172084,0.000125685746960062,2175147,1.83895617169782e-05,4347230,7.17698396450153e-05
"508","Costa Rica",2014,2199827,0.000101826189059412,2203849,2.08725733931862e-05,4403675,6.10853434915156e-05
"509","Croatia",1995,2170101,0.0003170359351938,2327301,0.000104412794047697,4497401,0.000206786097125873
"510","Croatia",1996,2019601,0.000365913861203277,2201201,0.000119934526651587,4220801,0.000237395698115121
"511","Croatia",1997,2055401,0.000337160485958701,2239701,0.000113854483254684,4295101,0.000220483755795265
"512","Croatia",1998,2023201,0.000368722633094784,2204701,0.000129269229705071,4227901,0.000243619706327088
"513","Croatia",1999,2049901,0.000349772989037032,2233901,0.000122655390726805,4283801,0.000231103172159491
"514","Croatia",2000,1970701,0.000351651518926514,2147301,0.000109439710594835,4118001,0.000225109221683045
"515","Croatia",2001,2005418,0.000327612497743613,2175217,0.000103897680093526,4180634,0.000210972785467467
"516","Croatia",2002,2022801,0.000318864782052214,2194501,0.000105263109927952,4217301,0.000207478669414396
"517","Croatia",2003,2026901,0.000332033976992463,2198701,8.823391629876e-05,4225601,0.000204941261609887
"518","Croatia",2004,2029201,0.000318351903039669,2200401,0.000103163014377834,4229601,0.000206166018969638
"519","Croatia",2005,2032688,0.00032075753878608,2203189,0.000101670805364406,4235876,0.000206568841958546
"520","Croatia",2006,2033507,0.000282270973249662,2201441,0.000101751534563043,4234947,0.000188195979784399
"521","Croatia",2007,2032495,0.00028437954336911,2198362,9.05219431558588e-05,4230856,0.000183414420155165
"522","Croatia",2008,2030637,0.000300398347907578,2194948,8.42844568527364e-05,4225584,0.000187903021215529
"523","Croatia",2009,2026828,0.0003054033198673,2189224,7.90234347878518e-05,4216051,0.000187616326273093
"524","Croatia",2010,2021928,0.00028932780989234,2182037,8.84494625893145e-05,4203964,0.000184825559876345
"525","Croatia",2011,2015248,0.000258528975093884,2173783,8.41850359488505e-05,4189030,0.00016781928035846
"526","Croatia",2012,1949347,0.000306256402785138,2104951,8.59877498336066e-05,4054297,0.000191648515143316
"527","Croatia",2013,1944986,0.00028123595748247,2099473,7.00175710761701e-05,4044458,0.000171345579556025
"528","Croatia",2014,1938504,0.000277017741516138,2091950,8.9390281794498e-05,4030453,0.000179384302459302
"529","Croatia",2015,1924286,0.000282182586164427,2077385,9.53121352084472e-05,4001670,0.000184922794733199
"530","Croatia",2016,1702539,0.000303076757713039,1864506,9.06406308158837e-05,3567044,0.000191755414287012
"531","Cuba",1992,4971201,0.000268345617085288,4944401,0.000195574752128721,9915601,0.000231957699790462
"532","Cuba",1993,5013801,0.00028142321564019,4990401,0.000193371234095216,10004201,0.000237400268147351
"533","Cuba",1994,5055101,0.000285256417230833,5034201,0.000166461370930561,10089301,0.000225882843618205
"534","Cuba",1995,5093201,0.000276839653490997,5075201,0.000160387736367486,10168401,0.000218618443548794
"535","Cuba",1996,5128401,0.000264214908311577,5113201,0.000129273228257602,10241601,0.000196746582882891
"536","Cuba",1997,5150449,0.000272209277288252,5110045,0.000123090892545956,10260493,0.00019784624384033
"537","Cuba",1998,5170057,0.000271176894181244,5137923,0.000127678052006618,10307979,0.000199554151206556
"538","Cuba",1999,5187306,0.000282805756976743,5162735,0.000113312033253692,10350040,0.000198163485358511
"539","Cuba",2000,5208252,0.000251715930795975,5188959,0.000103296248823704,10397210,0.000177547630566277
"540","Cuba",2001,5225357,0.000230414878830289,5208073,8.64043188334726e-05,10433429,0.000158433052067542
"541","Cuba",2002,5248200,0.000218741663808544,5231217,8.79336490915976e-05,10479416,0.000153348240016428
"542","Cuba",2003,5274418,0.000213672864001298,5256658,7.11478661917895e-05,10531075,0.000142435601303761
"543","Cuba",2004,5298608,0.000216094491232414,5280095,7.04532778292815e-05,10578702,0.000143306806449411
"544","Cuba",2005,5317383,0.00019690137046739,5299025,6.6427314458792e-05,10616407,0.000131682969577184
"545","Cuba",2006,5334674,0.000206947978451917,5318966,5.1513771661635e-05,10653639,0.000129251610646841
"546","Cuba",2007,5345614,0.000194926158155078,5332411,5.00711591810909e-05,10678024,0.000122494573902437
"547","Cuba",2008,5352295,0.000199540570913972,5341521,5.82231165991859e-05,10693815,0.000128859532355852
"548","Cuba",2009,5358282,0.00021312801379248,5349950,6.29912429088122e-05,10708231,0.000138024665325206
"549","Cuba",2010,5365725,0.000229232769103896,5360125,6.15657284111844e-05,10725849,0.000145349799349217
"550","Cuba",2011,5375084,0.000226042979049258,5372952,5.88131068358697e-05,10748035,0.000142351601943983
"551","Cuba",2012,5384854,0.000222847267539658,5385683,5.51462089395161e-05,10770536,0.000138897451343183
"552","Cuba",2013,5394590,0.000222815821035519,5398102,5.53898388729965e-05,10792691,0.000138982946885072
"553","Cuba",2014,5403716,0.000212261340159253,5409697,5.69347969026731e-05,10813412,0.000134462646942519
"554","Cuba",2015,5411883,0.000223951626448687,5420187,5.55331393547861e-05,10832069,0.000139585521473321
"555","Cyprus",1999,430897,4.64148044660325e-06,425838,2.3483108599984e-06,856734,2.33444686448769e-06
"556","Cyprus",2000,440437,1.81637782475133e-05,434794,2.29993974157877e-06,875230,9.14045450910046e-06
"557","Cyprus",2004,337687,1.77679330267378e-05,352931,8.50024509040011e-06,690617,1.1583844591141e-05
"558","Cyprus",2005,342778,3.79254211180414e-05,358487,1.67370085944539e-05,701264,2.56679367542038e-05
"559","Cyprus",2006,348673,3.72842175906939e-05,364755,2.19325300544201e-05,713427,2.80337021166847e-05
"560","Cyprus",2007,356089,4.49325870779496e-05,372479,1.34235755572797e-05,728567,2.74511472520715e-05
"561","Cyprus",2008,364746,8.77322849325284e-05,382290,2.87739674069424e-05,747035,5.62222653557062e-05
"562","Cyprus",2009,373675,6.95791797685154e-05,393501,2.03303168225748e-05,767175,4.30149574738489e-05
"563","Cyprus",2010,382347,8.10781829071498e-05,404736,2.22367172675522e-05,787082,4.95501104078101e-05
"564","Cyprus",2011,388384,6.69440553678833e-05,412438,1.45476410999956e-05,800821,3.87102735817367e-05
"565","Cyprus",2012,394573,8.87034845263107e-05,419734,7.14738381927602e-06,814306,4.54374645403571e-05
"566","Cyprus",2013,394174,0.000104014978156855,418844,1.43251425351682e-05,813017,5.65793827189345e-05
"567","Cyprus",2014,389596,8.2136366903151e-05,415224,3.37167408434965e-05,804819,5.59131929042431e-05
"568","Cyprus",2015,385656,8.29755014831871e-05,410383,2.43674811091103e-05,796038,5.15050789032684e-05
"569","Cyprus",2016,342634,9.33941173380342e-05,368712,1.62728633730391e-05,711345,5.20141422235343e-05
"570","Czech Republic",1990,4702801,0.000305137300089883,5008101,0.000112617537066445,9710901,0.000205748158692999
"571","Czech Republic",1991,4675201,0.000298168998509369,4992301,0.000102557918683188,9667501,0.000197051957894807
"572","Czech Republic",1992,4683501,0.00031728401467193,4998401,0.000101432438093702,9681901,0.000205744718934846
"573","Czech Republic",1993,4695301,0.000300939173015745,5008101,0.000101036300985144,9703401,0.000197662654568228
"574","Czech Republic",1994,4707101,0.000285101169488396,5016601,0.000106047899763206,9723701,0.000192622130195077
"575","Czech Republic",1995,4719101,0.000272297626179224,5025201,8.95486568596958e-05,9744301,0.000177950168000763
"576","Czech Republic",1996,4731501,0.00025509875196053,5032401,7.21325665422926e-05,9763901,0.000160693968527538
"577","Czech Republic",1997,4745201,0.000276489868395459,5041501,7.06138905853634e-05,9786701,0.000170333189907406
"578","Czech Republic",1998,4757601,0.000266731068872736,5050701,6.8505342129736e-05,9808301,0.000164554493178788
"579","Czech Republic",1999,4764815,0.000269895053637969,5054402,6.44982334210852e-05,9819216,0.00016406605170922
"580","Czech Republic",2000,4766728,0.000272513976043945,5053016,6.96613665976914e-05,9819743,0.000168028837414584
"581","Czech Republic",2001,4785269,0.000270622194906911,5052816,6.53101161807594e-05,9838084,0.000165072792629134
"582","Czech Republic",2002,4734128,0.000257069517343004,5018337,6.35668748432e-05,9752464,0.00015739612061116
"583","Czech Republic",2003,4735235,0.000288475651155645,5013317,7.08114009148035e-05,9748551,0.000176436477585233
"584","Czech Republic",2004,4735051,0.000271802774669164,5011598,5.9462071778303e-05,9746648,0.000162517411114057
"585","Czech Republic",2005,4748533,0.000268293386610138,5013202,5.84456800264581e-05,9761734,0.000160422318411872
"586","Czech Republic",2006,4763094,0.000239970069874749,5017227,5.16221410751397e-05,9780320,0.000143246846728941
"587","Czech Republic",2007,4789058,0.000240130731346332,5029239,4.59314023453648e-05,9818296,0.000140553920965512
"588","Czech Republic",2008,4841283,0.000232169860757985,5058313,5.08074529986579e-05,9899595,0.000139399642106571
"589","Czech Republic",2009,4866451,0.00025295641526032,5070958,4.63423282149054e-05,9937408,0.000147422748467206
"590","Czech Republic",2010,4867799,0.000255967840907153,5077476,5.08126478588968e-05,9945274,0.000151127057937267
"591","Czech Republic",2011,4850796,0.000275831018249376,5055524,5.02420718406242e-05,9906319,0.00016060455957455
"592","Czech Republic",2012,4860860,0.000284106104681065,5062269,5.51136259254496e-05,9923128,0.000167185185961523
"593","Czech Republic",2013,4867778,0.000266035139646878,5069004,5.60267855381452e-05,9936781,0.000158803942645007
"594","Czech Republic",2014,4881394,0.000245216837649245,5081735,5.78542564694932e-05,9963128,0.000149551426018014
"595","Czech Republic",2015,4896423,0.000231597637704095,5092904,5.00696655581963e-05,9989326,0.000138948313429755
"596","Czech Republic",2016,4354465,0.000243657946498594,4575479,5.66060952306851e-05,8929943,0.000147705310101084
"597","Denmark",1994,2398601,0.000283915499076337,2476301,0.000129225001322537,4874901,0.000205132370893276
"598","Denmark",1995,2406101,0.000260171954543887,2483001,0.000120821538130673,4889101,0.000189196336913473
"599","Denmark",1996,2421401,0.000261005921778342,2495901,0.000104972112275287,4917301,0.000181603688690198
"600","Denmark",1997,2432001,0.000230674247255655,2505301,0.000102981637735346,4937301,0.000165677563510914
"601","Denmark",1998,2441701,0.000224433704208664,2514701,8.62925651996003e-05,4956401,0.000154144105773524
"602","Denmark",1999,2452440,0.000229975045261046,2523762,7.92467752505981e-05,4976201,0.000153329819273779
"603","Denmark",2000,2463996,0.000216721131040797,2534616,7.7329268023243e-05,4998611,0.000145840514494927
"604","Denmark",2001,2474749,0.000205273342872348,2543704,8.6881177998698e-05,5018452,0.000145064653403081
"605","Denmark",2002,2486963,0.000202656814757598,2554261,7.2819496519737e-05,5041223,0.000136673184265009
"606","Denmark",2003,2495464,0.000192749725101224,2561321,6.01252244447299e-05,5056784,0.000125376128385155
"607","Denmark",2004,2503916,0.000187705977357068,2569013,7.51261282056572e-05,5072928,0.000130496628377142
"608","Denmark",2005,2512937,0.000182256857215282,2576917,6.79106079085978e-05,5089853,0.000124168615478679
"609","Denmark",2006,2524473,0.000187365838335367,2585989,6.92191652787386e-05,5110461,0.000127385768133247
"610","Denmark",2007,2536721,0.000158472295534274,2596282,6.97150771757459e-05,5133002,0.000113383941794685
"611","Denmark",2008,2552857,0.00016412983570956,2609670,7.12733793927968e-05,5162526,0.000116996989458261
"612","Denmark",2009,2568520,0.000186099387974398,2624272,5.56344769139784e-05,5192791,0.000119974017825867
"613","Denmark",2010,2580863,0.000157311720924357,2636924,6.02975284839457e-05,5217786,0.000108091822853601
"614","Denmark",2011,2594581,0.000168813384511796,2649571,5.77451972413647e-05,5244151,0.000112506295108589
"615","Denmark",2012,2608868,0.000189737464678167,2661673,6.31181967131199e-05,5270540,0.000125603828070748
"616","Denmark",2013,2624007,0.00017187454149322,2675693,6.01713275775659e-05,5299699,0.000115289566445189
"617","Denmark",2014,2645799,0.000177640100400673,2693369,5.9776436128878e-05,5339167,0.000117995934571816
"618","Denmark",2015,2671159,0.000146378407275643,2711903,6.45303316527177e-05,5383061,0.000104958870055532
"619","Dominica",1985,33401,2.99392233765456e-05,33001,3.03021120572104e-05,66401,1.50600141564133e-05
"620","Ecuador",1985,3855901,7.26159722461754e-05,3805901,3.02162352620313e-05,7661801,5.14239406635594e-05
"621","Ecuador",1986,3966201,6.22762184770767e-05,3915101,3.37156052934522e-05,7881301,4.7961624609947e-05
"622","Ecuador",1987,4196501,6.19563774678e-05,4160301,3.17284734926632e-05,8356801,4.67882387052175e-05
"623","Ecuador",1988,4314901,7.5320383943919e-05,4278301,3.34244832235974e-05,8593201,5.43452899565598e-05
"624","Ecuador",1989,4302108,6.22950423373844e-05,4276513,3.85828360629326e-05,8578620,5.03577498478776e-05
"625","Ecuador",1990,4413011,6.70743852666581e-05,4387924,3.50963234550097e-05,8800934,5.10173124806981e-05
"626","Ecuador",1991,4561401,6.70846522811741e-05,4530301,4.1939818126875e-05,9091701,5.44452572736389e-05
"627","Ecuador",1992,4638104,7.20121842890974e-05,4615053,3.7486026704352e-05,9253156,5.46840450976942e-05
"628","Ecuador",1993,4755189,7.42346939311981e-05,4733296,4.71130476522068e-05,9488484,6.05997754751971e-05
"629","Ecuador",1994,4872859,7.01846698211461e-05,4852398,3.54463916603708e-05,9725256,5.27492541070384e-05
"630","Ecuador",1995,4989613,7.35527985837779e-05,4970952,3.6411536462231e-05,9960564,5.49165689814352e-05
"631","Ecuador",1996,5106019,7.77513753865781e-05,5089831,3.89010951444164e-05,10195849,5.82590032473019e-05
"632","Ecuador",1997,5220588,7.48957780234717e-05,5207187,3.64880308696423e-05,10427774,5.56206914342409e-05
"633","Ecuador",1998,5333440,7.01235975280494e-05,5323008,3.26882845188284e-05,10656447,5.1330429363558e-05
"634","Ecuador",1999,5445357,7.84154280426426e-05,5437928,3.51236721045222e-05,10883284,5.669244687541e-05
"635","Ecuador",2000,5556950,6.69431972574884e-05,5552435,2.95365907029979e-05,11109384,4.81574855995616e-05
"636","Ecuador",2001,5665003,7.0608965255623e-05,5663327,3.2842885462909e-05,11328329,5.16404493548872e-05
"637","Ecuador",2002,5773874,6.89311890075883e-05,5774898,3.1342544924603e-05,11548771,5.0048615562643e-05
"638","Ecuador",2003,5883667,7.71627626104604e-05,5887337,3.78779064286621e-05,11771003,5.74292607010635e-05
"639","Ecuador",2004,5993886,9.27611903196023e-05,6000269,3.94982291627259e-05,11994154,6.60321686715045e-05
"640","Ecuador",2005,6104190,0.000112054179178564,6113455,4.26927163118073e-05,12217644,7.72653058150982e-05
"641","Ecuador",2006,6218477,9.69690810145314e-05,6230899,4.79866548952246e-05,12449375,7.23731110999548e-05
"642","Ecuador",2007,6330838,0.00011562450342277,6346518,4.33308469305531e-05,12677355,7.93540923954563e-05
"643","Ecuador",2008,6442095,0.000104624349687485,6461090,3.96217975604735e-05,12903184,7.19977332726558e-05
"644","Ecuador",2009,6553951,0.000109857397469099,6576212,3.74075531628238e-05,13130162,7.34949043279131e-05
"645","Ecuador",2010,6667423,9.88387867396444e-05,6692864,3.81002811352509e-05,13360286,6.83368604534364e-05
"646","Ecuador",2011,6777371,9.6645144555315e-05,6806184,3.8935180124428e-05,13583554,6.76553426297713e-05
"647","Ecuador",2012,6892023,0.000103307838641862,6923840,3.84179877062439e-05,13815862,7.07158192518136e-05
"648","Ecuador",2013,7010036,7.00424363013257e-05,7044579,2.65452342858246e-05,14054614,4.81692346726847e-05
"649","Ecuador",2014,7129026,7.96742780851129e-05,7166121,2.34436454533771e-05,14295146,5.14160540927669e-05
"650","Ecuador",2015,7247227,0.000111490919216412,7286799,3.66416035353795e-05,14534025,7.38955657500245e-05
"651","El Salvador",1990,2186397,0.000171972427697257,2324157,8.47619158258242e-05,4510553,0.000126813718849995
"652","El Salvador",1991,2215947,0.000144859060257308,2361040,6.5649036018026e-05,4576986,0.000103780085846887
"653","El Salvador",1992,2233201,0.000122246049504724,2358401,6.27543831604549e-05,4591601,9.1471362603153e-05
"654","El Salvador",1993,2283101,0.000119574210689759,2411201,6.34538555682417e-05,4694301,9.05353107949405e-05
"655","El Salvador",1995,2329216,0.00017988885530582,2507183,8.09673645681229e-05,4836398,0.000128401343313764
"656","El Salvador",1996,2352682,0.000158542463452349,2539711,6.6543004302458e-05,4892392,0.000110579855416328
"657","El Salvador",1997,2376210,0.000159918525719528,2573094,7.73387991266545e-05,4949303,0.000116784120915612
"658","El Salvador",1998,2399505,0.000144196407175647,2606835,6.44459660853104e-05,5006339,0.000102470088421899
"659","El Salvador",1999,2422306,0.000143251926057236,2640455,6.43828431084794e-05,5062760,0.000101920691480536
"660","El Salvador",2000,2444553,0.000130903277613535,2673638,5.34851763776547e-05,5118190,9.02662855423499e-05
"661","El Salvador",2001,2467561,0.000147108825273215,2707535,5.65089647963923e-05,5175095,9.95150813656561e-05
"662","El Salvador",2002,2489545,0.000122512346633622,2740915,4.85239418223476e-05,5230459,8.35490728442762e-05
"663","El Salvador",2003,2510238,0.000154965385752267,2773306,5.04812667624849e-05,5283543,9.99329427242288e-05
"664","El Salvador",2004,2529180,0.000138384772930357,2803992,4.13695902128109e-05,5333171,8.71901538503078e-05
"665","El Salvador",2005,2546225,0.0001327455350568,2832656,4.20100428714253e-05,5378880,8.47760128502588e-05
"666","El Salvador",2006,2565675,0.000114589727849396,2863371,4.15594067272456e-05,5429045,7.58881166024595e-05
"667","El Salvador",2007,2579490,0.000151192677622321,2888373,3.91223709680156e-05,5467862,9.18091934288027e-05
"668","El Salvador",2008,2589722,0.000144803187369146,2909567,4.02121690272126e-05,5499288,8.92842855293267e-05
"669","El Salvador",2009,2599196,0.000151585336388637,2929716,3.89116214677464e-05,5528911,9.16997940462417e-05
"670","El Salvador",2010,2609774,0.000116868357183419,2950681,3.25348622911118e-05,5560454,7.19365720856606e-05
"671","El Salvador",2011,2617340,0.00014060076260631,2968447,4.00883020650192e-05,5585786,8.70065555680078e-05
"672","El Salvador",2012,2629133,0.000151000348784181,2989692,3.91344660252628e-05,5618824,9.13002436096948e-05
"673","El Salvador",2013,2643940,0.00014637245928425,3013312,3.28542148970966e-05,5657251,8.5730684390705e-05
"674","El Salvador",2014,2659295,0.000104915024470771,3037036,3.58902561576484e-05,5696330,6.7938479687799e-05
"675","Estonia",1995,624247,0.000748101312461253,732406,0.000176131817598436,1356652,0.000438579679976884
"676","Estonia",1996,616785,0.000703648759292136,725419,0.000155772043467293,1342203,0.000406793905243842
"677","Estonia",1997,611187,0.000706821316552872,720049,0.000127769082381893,1331235,0.000392868276450063
"678","Estonia",1998,606539,0.000654533344104831,715182,0.000114656129488718,1321720,0.000361649971249584
"679","Estonia",1999,602384,0.000624186565380223,710816,0.000132242380587944,1313199,0.00035714312910686
"680","Estonia",2000,618721,0.000468708836454557,715456,0.000124396189283478,1334176,0.000283320941165184
"681","Estonia",2001,614411,0.000514313708576181,711201,0.000122328286939979,1325611,0.000303256385168801
"682","Estonia",2002,609856,0.000491919403924861,706836,0.000103277139251538,1316691,0.000282526424195198
"683","Estonia",2003,605101,0.000457774817757697,702061,9.54333028041723e-05,1307161,0.000262400729519929
"684","Estonia",2004,600316,0.000441434177999587,697336,8.60417359780651e-05,1297651,0.000249681925263418
"685","Estonia",2005,595836,0.000370907430903806,692661,7.79602143039669e-05,1288496,0.000212651028796364
"686","Estonia",2006,591251,0.000324735180151915,687666,8.28890769646893e-05,1278916,0.000193914221105999
"687","Estonia",2007,587026,0.000350921424264002,683391,6.877468389253e-05,1270416,0.000198360222163449
"688","Estonia",2008,584021,0.000325330767215562,679986,7.94133996876406e-05,1264006,0.000192245922883277
"689","Estonia",2009,582136,0.000379636373630904,676876,7.38687736010732e-05,1259011,0.000214454043689849
"690","Estonia",2010,580491,0.000313527686045089,673736,6.38232185900709e-05,1254226,0.000178596201960412
"691","Estonia",2011,578837,0.000309240770717836,670592,6.11400076350449e-05,1249428,0.000175280208223283
"692","Estonia",2012,580763,0.000328877700542218,670870,7.15488842845857e-05,1251632,0.00019015173789101
"693","Estonia",2013,577114,0.000298034703715384,665984,7.20738035748607e-05,1243097,0.000176172897207539
"694","Estonia",2014,577353,0.000336016267344242,664501,7.37395429051273e-05,1241853,0.000194870085267741
"695","Estonia",2015,579037,0.000276320856870977,664415,5.56880865121949e-05,1243451,0.000157625833265645
"696","Fiji",2001,364983,7.94557554735426e-05,354478,2.53894458894487e-05,719460,5.14274594835015e-05
"697","Fiji",2002,367189,7.35316145091492e-05,356000,4.7752808988764e-05,723188,5.94589511994115e-05
"698","Fiji",2003,368781,1.89814551183494e-05,356812,1.40129816261785e-05,725592,1.51600348405164e-05
"699","Fiji",2004,370576,4.58745304606882e-05,357834,2.5151327151696e-05,728409,3.43213771383934e-05
"700","Fiji",2005,373020,4.55739638625275e-05,359589,1.94666688914288e-05,732608,3.13946885646894e-05
"701","Fiji",2006,375905,4.25639456777643e-05,361856,2.76353024407499e-05,737760,3.38863587074387e-05
"702","Fiji",2007,379800,2.89626119010005e-05,365257,1.09511932693966e-05,745056,1.87905338659107e-05
"703","Fiji",2008,384273,6.76602311377588e-05,369387,3.51934421081413e-05,753659,5.04206809711023e-05
"704","Fiji",2009,388729,5.1449724615349e-05,373676,2.14089210974213e-05,762404,3.54142947833432e-05
"705","Fiji",2011,395602,7.83615856340463e-05,380725,2.36391095935386e-05,776326,5.02366273962227e-05
"706","Fiji",2012,398705,5.76867608883761e-05,384236,2.86282388948459e-05,782940,4.21488236646486e-05
"707","Finland",1987,2226901,0.000478692137638808,2387201,0.000125251288014708,4614101,0.000295615548944421
"708","Finland",1988,2237301,0.000495239576614859,2396301,0.000123523714257933,4633601,0.000302788263383058
"709","Finland",1989,2248601,0.000497642756540622,2405701,0.000123041059549794,4654301,0.000303805018197147
"710","Finland",1990,2260401,0.000528224859217457,2414701,0.000132521583417574,4675101,0.000323629371857421
"711","Finland",1991,2273401,0.000523884699619645,2425101,0.000125355603745988,4698501,0.000317973753756783
"712","Finland",1992,2286301,0.000506057601339456,2434601,0.00012158049717387,4720901,0.000307568406962993
"713","Finland",1993,2297501,0.000481827864275141,2443501,0.000119500667280267,4741001,0.000294874436854158
"714","Finland",1994,2309401,0.000468086746303479,2452201,0.000125601449473351,4761601,0.000291498594695356
"715","Finland",1995,2320301,0.00046588783093228,2461001,0.00012555866494975,4781301,0.00029050670518338
"716","Finland",1996,2331701,0.000414289825324945,2470501,0.00011455166381232,4802201,0.00025988083380933
"717","Finland",1997,2343401,0.0004433726878157,2479801,0.000114928576930165,4823201,0.000274299163563783
"718","Finland",1998,2355241,0.000408875355006133,2489434,0.000107253295327372,4844674,0.000253680639811884
"719","Finland",1999,2365969,0.000403640115318502,2498288,0.000101669623358076,4864256,0.000248342192516183
