"","Country","Year","%20-Head","%20-64Head"
"1","Afghanistan",2015,0.62851875179063,88.4609758034277
"2","Albania",2009,0.0600858387143642,73.0115548267979
"3","Angola",2007,1.74453519156802,89.1033364393719
"4","Angola",2008,1.60147766810843,89.757392038809
"5","Angola",2009,1.61711674335801,89.6628638729833
"6","Angola",2010,1.63275581860758,89.5683357071576
"7","Angola",2011,1.36274101618072,90.8212583188046
"8","Angola",2012,1.66403396910674,89.3792793755061
"9","Angola",2013,1.67967304435631,89.2847512096804
"10","Angola",2014,1.69531211960589,89.1902230438546
"11","Angola",2015,1.71095119485546,89.0956948780289
"12","Angola",2016,1.85354754907233,88.4022996999932
"13","Argentina",2001,0.484129811896016,77.8795947918827
"14","Argentina",2002,0.513472547151771,77.9286644008425
"15","Argentina",2003,0.54281528240751,77.9777340098022
"16","Argentina",2004,0.572158017663256,78.0268036187619
"17","Argentina",2005,0.601500752918994,78.0758732277217
"18","Argentina",2006,0.630843488174733,78.1249428366815
"19","Argentina",2007,0.660186223430472,78.1740124456412
"20","Argentina",2008,0.689528958686211,78.223082054601
"21","Argentina",2009,0.718871693941949,78.2721516635607
"22","Argentina",2010,0.748214429197693,78.3212212725205
"23","Armenia",2000,0.0433459286822411,70.841177130175
"24","Armenia",2001,0.292336372475487,71.5905480559782
"25","Armenia",2002,0.18574422102353,70.180701090238
"26","Armenia",2003,0.201411570575249,70.2688103175569
"27","Armenia",2004,0.217078920126969,70.3569195448758
"28","Armenia",2005,0.231713430633953,66.6535338208323
"29","Armenia",2006,0.248413619230409,70.5331379995136
"30","Armenia",2007,0.264080968782128,70.6212472268325
"31","Armenia",2008,0.279748318333844,70.7093564541514
"32","Armenia",2009,0.295415667885564,70.7974656814703
"33","Armenia",2010,0.316384567284939,69.4513432460477
"34","Armenia",2011,0.3112857484202,73.8647600625779
"35","Australia",2006,0.679917884665076,78.0401528646444
"36","Australia",2007,0.651834469606769,77.8751696291841
"37","Australia",2008,0.623751054548485,77.7101863937239
"38","Australia",2009,0.595667639490202,77.5452031582638
"39","Australia",2010,0.567584224431918,77.3802199228037
"40","Australia",2011,0.539500809373632,77.2152366873436
"41","Austria",1991,0.420509722835304,74.5082160364552
"42","Austria",1992,0.431109959765125,75.1320497484006
"43","Austria",1993,0.426938349247484,75.0237661890229
"44","Austria",1994,0.422766738729845,74.9154826296452
"45","Austria",1995,0.418595128212203,74.8071990702675
"46","Austria",1996,0.414423517694564,74.6989155108899
"47","Austria",1997,0.410251907176924,74.5906319515122
"48","Austria",1998,0.406080296659283,74.4823483921345
"49","Austria",1999,0.401908686141644,74.3740648327568
"50","Austria",2000,0.397737075624002,74.2657812733791
"51","Austria",2001,0.423109160001282,75.6217322566476
"52","Austria",2002,0.389393854588722,74.0492141546237
"53","Austria",2003,0.385222244071082,73.940930595246
"54","Austria",2004,0.381050633553441,73.8326470358683
"55","Austria",2005,0.376879023035801,73.7243634764907
"56","Austria",2006,0.37270741251816,73.616079917113
"57","Austria",2007,0.368535802000521,73.5077963577353
"58","Austria",2008,0.364364191482879,73.3995127983576
"59","Austria",2009,0.36019258096524,73.2912292389799
"60","Austria",2010,0.356020970447601,73.1829456796022
"61","Austria",2011,0.3370775124825,72.3425448489015
"62","Azerbaijan",2006,0.111720826108761,77.2204774894566
"63","Azerbaijan",2007,0.140006499771019,78.0794406970256
"64","Azerbaijan",2008,0.168292173433244,78.9384039045938
"65","Azerbaijan",2009,0.196577847095453,79.7973671121622
"66","Bangladesh",1991,1.78707344672634,88.0939422443845
"67","Bangladesh",1992,1.44187188855442,88.2957726297407
"68","Bangladesh",1993,1.39813888070569,88.2741094970111
"69","Bangladesh",1994,1.13612159796701,88.1651728280936
"70","Bangladesh",1995,1.31067286500824,88.2307832315517
"71","Bangladesh",1996,1.26693985715951,88.209120098822
"72","Bangladesh",1997,1.03585742119841,88.1057861554503
"73","Bangladesh",1998,1.17947384146207,88.1657938333627
"74","Bangladesh",1999,1.13574083361334,88.144130700633
"75","Bangladesh",2000,1.16106312188065,87.7963406030418
"76","Bangladesh",2001,0.897778929046402,88.7517018944336
"77","Bangladesh",2002,1.00454181006717,88.079141302444
"78","Bangladesh",2003,0.960808802218438,88.0574781697143
"79","Bangladesh",2004,1.23637423763817,88.2879588379212
"80","Bangladesh",2005,0.873342786520993,88.0141519042549
"81","Bangladesh",2006,0.829609778672264,87.9924887715253
"82","Bangladesh",2007,0.645224978709464,88.3720265627517
"83","Bangladesh",2008,0.742143762974806,87.9491625060659
"84","Bangladesh",2009,0.698410755126091,87.9274993733362
"85","Bangladesh",2010,0.654677747277361,87.9058362406066
"86","Bangladesh",2011,0.410311286118839,87.5670036016336
"87","Bangladesh",2012,0.567211731579917,87.8625099751472
"88","Bangladesh",2013,0.523478723731188,87.8408468424175
"89","Bangladesh",2014,0.687338263470607,87.5506758615558
"90","Belarus",1999,0.358986564212411,73.1448583037247
"91","Belarus",2000,0.412577174381028,73.1168413725533
"92","Belarus",2001,0.466167784549611,73.0888244413819
"93","Belarus",2002,0.51975839471821,73.0608075102106
"94","Belarus",2003,0.573349004886808,73.0327905790392
"95","Belarus",2004,0.626939615055392,73.0047736478678
"96","Belarus",2005,0.68053022522399,72.9767567166965
"97","Belarus",2006,0.734120835392588,72.9487397855251
"98","Belarus",2007,0.787711445561172,72.9207228543537
"99","Belarus",2008,0.84130205572977,72.8927059231824
"100","Belarus",2009,0.894892665898367,72.864688992011
"101","Belgium",2011,0.276221739440823,73.5266449006696
"102","Benin",1996,0.57404489177012,84.3543148729745
