"","Country","Year","%60+Head","%65+Head"
"1","Afghanistan",2015,17.8168066019772,10.9000919750937
"2","Albania",2009,37.2057192684311,26.8485592241004
"3","Angola",2007,14.8465827384091,8.78549170889346
"4","Angola",2008,14.2829458527686,8.40396945466759
"5","Angola",2009,14.0689428329842,8.30941490168058
"6","Angola",2010,13.8549398131998,8.21486034869355
"7","Angola",2011,13.0115958348741,7.60376393347654
"8","Angola",2012,13.4269337736309,8.02575124271951
"9","Angola",2013,13.2129307538465,7.93119668973247
"10","Angola",2014,12.998927734062,7.83664213674544
"11","Angola",2015,12.7849247142776,7.74208758375843
"12","Angola",2016,12.8506287871781,7.8771071917625
"13","Argentina",2001,29.1646031435686,21.6362753962212
"14","Argentina",2002,29.1470367144056,21.5578630520057
"15","Argentina",2003,29.1294702852426,21.4794507077902
"16","Argentina",2004,29.1119038560796,21.4010383635747
"17","Argentina",2005,29.0943374269166,21.3226260193592
"18","Argentina",2006,29.0767709977536,21.2442136751438
"19","Argentina",2007,29.0592045685906,21.1658013309283
"20","Argentina",2008,29.0416381394276,21.0873889867128
"21","Argentina",2009,29.0240717102646,21.0089766424973
"22","Argentina",2010,29.0065052811016,20.9305642982819
"23","Armenia",2000,42.5445240360696,29.0493924975268
"24","Armenia",2001,39.814031108897,28.0977679226726
"25","Armenia",2002,40.8622890381494,29.5929897612141
"26","Armenia",2003,40.506590278024,29.4565935577598
"27","Armenia",2004,40.1508915178986,29.3201973543055
"28","Armenia",2005,39.7733686956988,33.1147527485337
"29","Armenia",2006,39.4394939976478,29.0474049473968
"30","Armenia",2007,39.0837952375224,28.9110087439425
"31","Armenia",2008,38.728096477397,28.7746125404882
"32","Armenia",2009,38.3723977172716,28.6382163370338
"33","Armenia",2010,41.5079979690125,30.2125773440006
"34","Armenia",2011,34.6246444589383,25.1717228346137
"35","Australia",2006,28.4807123306539,21.2799292506906
"36","Australia",2007,28.893239066652,21.4729959012091
"37","Australia",2008,29.3057658026495,21.6660625517275
"38","Australia",2009,29.7182925386471,21.8591292022459
"39","Australia",2010,30.1308192746448,22.0521958527643
"40","Australia",2011,30.5433460106423,22.2452625032827
"41","Austria",1991,33.0682606430115,25.0712742407095
"42","Austria",1992,32.6091742004683,24.4368402918343
"43","Austria",1993,32.6605694440716,24.5492954617296
"44","Austria",1994,32.7119646876749,24.6617506316249
"45","Austria",1995,32.7633599312782,24.7742058015203
"46","Austria",1996,32.8147551748815,24.8866609714156
"47","Austria",1997,32.8661504184848,24.9991161413109
"48","Austria",1998,32.9175456620881,25.1115713112062
"49","Austria",1999,32.9689409056914,25.2240264811016
"50","Austria",2000,33.0203361492947,25.3364816509969
"51","Austria",2001,32.050768020605,23.9551585833511
"52","Austria",2002,33.1231266365014,25.5613919907875
"53","Austria",2003,33.1745218801047,25.6738471606829
"54","Austria",2004,33.225917123708,25.7863023305782
"55","Austria",2005,33.2773123673113,25.8987575004735
"56","Austria",2006,33.3287076109146,26.0112126703688
"57","Austria",2007,33.3801028545179,26.1236678402642
"58","Austria",2008,33.4314980981212,26.2361230101595
"59","Austria",2009,33.4828933417245,26.3485781800548
"60","Austria",2010,33.5342885853279,26.4610333499502
"61","Austria",2011,34.0961655150777,27.320377638616
"62","Azerbaijan",2006,28.4332026625027,22.575897953912
"63","Azerbaijan",2007,27.5736691135241,21.7194594637124
"64","Azerbaijan",2008,26.7141355645465,20.863020973514
"65","Azerbaijan",2009,25.854602015569,20.0065824833157
"66","Bangladesh",1991,17.058447221823,10.1084519691584
"67","Bangladesh",1992,15.9830593774464,10.2510043596909
"68","Bangladesh",1993,16.0969532046865,10.311652429646
"69","Bangladesh",1994,15.9260127880256,10.646414776692
"70","Bangladesh",1995,16.3247408591669,10.4329485695564
"71","Bangladesh",1996,16.4386346864071,10.4935966395116
"72","Bangladesh",1997,15.9867544506321,10.8308949975476
"73","Bangladesh",1998,16.6664223408874,10.6148927794219
"74","Bangladesh",1999,16.7803161681275,10.6755408493771
"75","Bangladesh",2000,16.6106040194604,10.9885399623621
"76","Bangladesh",2001,16.9947387374865,10.3504796894102
"77","Bangladesh",2002,17.121997649848,10.8574850592426
"78","Bangladesh",2003,17.2358914770882,10.9181331291978
"79","Bangladesh",2004,16.9824324292997,10.4230044669116
"80","Bangladesh",2005,17.4636791315685,11.0394292691081
"81","Bangladesh",2006,17.5775729588087,11.1000773390633
"82","Bangladesh",2007,16.7899612022427,10.9565332732737
"83","Bangladesh",2008,17.805360613289,11.2213734789736
"84","Bangladesh",2009,17.9192544405292,11.2820215489288
"85","Bangladesh",2010,18.0331482677694,11.342669618884
"86","Bangladesh",2011,18.8435964644411,11.7217515230718
"87","Bangladesh",2012,18.2609359222497,11.4639657587943
"88","Bangladesh",2013,18.3748297494899,11.5246138287495
"89","Bangladesh",2014,19.0193253624609,11.751942944711
"90","Belarus",1999,36.4610781497033,26.4831216814285
"91","Belarus",2000,36.2264730679645,26.4513729803459
"92","Belarus",2001,35.9918679862257,26.4196242792634
"93","Belarus",2002,35.757262904487,26.3878755781808
"94","Belarus",2003,35.5226578227483,26.3561268770983
"95","Belarus",2004,35.2880527410095,26.3243781760157
"96","Belarus",2005,35.0534476592708,26.2926294749332
"97","Belarus",2006,34.8188425775321,26.2608807738507
"98","Belarus",2007,34.5842374957933,26.2291320727681
"99","Belarus",2008,34.3496324140546,26.1973833716856
"100","Belarus",2009,34.1150273323158,26.165634670603
"101","Belgium",2011,33.7907404753196,26.1971333598896
"102","Benin",1996,21.41768439654,14.6690414243492
"103","Benin",1997,20.8658997828001,14.3979665244219
"104","Benin",1998,20.7574050882244,14.312880318084
"105","Benin",1999,20.6489103936487,14.2277941117462
"106","Benin",2000,20.5404156990731,14.1427079054083
"107","Benin",2001,20.7186093856359,14.5484494465601
"108","Benin",2002,20.3234263099217,13.9725354927326
"109","Benin",2003,20.2149316153461,13.8874492863948
"110","Benin",2004,20.1064369207704,13.8023630800569
"111","Benin",2005,19.9979422261947,13.7172768737191
"112","Benin",2006,18.1817457150938,12.2363699474117
"113","Benin",2007,19.7809528370434,13.5471044610434
"114","Benin",2008,19.6724581424677,13.4620182547056
"115","Benin",2009,19.5639634478921,13.3769320483677
"116","Benin",2010,19.4554687533164,13.2918458420299
"117","Benin",2011,19.3469740587407,13.206759635692
"118","Benin",2012,20.2162028803876,13.8406777082446
"119","Bermuda",2000,24.089390806426,17.6316208048354
"120","Bermuda",2001,24.4702596966632,17.8485500960415
"121","Bermuda",2002,24.8511285869006,18.0654793872476
"122","Bermuda",2003,25.2319974771378,18.2824086784537
"123","Bermuda",2004,25.6128663673752,18.4993379696598
"124","Bermuda",2005,25.9937352576125,18.7162672608659
"125","Bermuda",2006,26.3746041478498,18.9331965520719
"126","Bermuda",2007,26.7554730380871,19.150125843278
"127","Bermuda",2008,27.1363419283244,19.3670551344841
"128","Bermuda",2009,27.5172108185618,19.5839844256902
"129","Bermuda",2010,27.8980797087992,19.8009137168963
"130","Bolivia",1992,17.1590429615898,11.1218709146371
"131","Bolivia",1993,18.0101808494923,12.2025870894168
"132","Bolivia",1994,18.4324638161917,11.8855992165638
"133","Bolivia",1995,18.2039122189979,12.3765220201954
"134","Bolivia",1996,18.3007779037508,12.4634894855847
"135","Bolivia",1997,18.3976435885037,12.550456950974
"136","Bolivia",1998,20.4876025586542,15.1122425224363
"137","Bolivia",1999,18.5913749580093,12.7243918817527
"138","Bolivia",2000,18.6882406427622,12.811359347142
"139","Bolivia",2001,17.4189733321295,12.1788705733797
"140","Bolivia",2002,18.8819720122679,12.9852942779206
"141","Bolivia",2003,17.9404467531489,12.6833251368806
"142","Bolivia",2004,19.0757033817736,13.1592292086992
"143","Bolivia",2005,19.1725690665264,13.2461966740885
"144","Bolivia",2006,19.2694347512793,13.3331641394778
"145","Bolivia",2007,19.3663004360321,13.4201316048672
"146","Bolivia",2008,20.8875682299026,14.4853902901752
"147","Bolivia",2009,19.5600318055378,13.5940665356458
