"","Country","Year","Fertility"
"1036","Slovenia",2000,1.3
"1037","Slovenia",2001,1.2
"1038","Slovenia",2002,1.2
"1039","Slovenia",2003,1.2
"1040","Slovenia",2004,1.3
"1041","Slovenia",2005,1.3
"1042","Slovenia",2006,1.3
"1043","Slovenia",2007,1.4
"1044","Slovenia",2008,1.5
"1045","Slovenia",2009,1.5
"1046","Slovenia",2010,1.6
"1047","Slovenia",2011,1.6
"1048","Slovenia",2012,1.6
"1049","Slovenia",2013,1.6
"1050","Slovenia",2014,1.6
"1051","Slovenia",2015,1.6
"1052","Slovenia",2016,1.6
"1053","South Africa",1990,3.7
"1054","South Africa",1991,3.5
"1055","South Africa",1992,3.4
"1056","South Africa",1993,3.3
"1057","South Africa",1994,3.2
"1058","South Africa",1995,3.1
"1059","South Africa",1996,3
"1060","South Africa",1997,3
"1061","South Africa",1998,2.9
"1062","South Africa",1999,2.9
"1063","South Africa",2000,2.8
"1064","South Africa",2001,2.8
"1065","South Africa",2002,2.8
"1066","South Africa",2003,2.7
"1067","South Africa",2004,2.7
"1068","South Africa",2005,2.7
"1069","South Africa",2006,2.7
"1070","South Africa",2007,2.6
"1071","South Africa",2008,2.6
"1072","South Africa",2009,2.6
"1073","South Africa",2010,2.6
"1074","South Africa",2011,2.6
"1075","South Africa",2012,2.6
"1076","South Africa",2013,2.5
"1077","South Africa",2014,2.5
"1078","South Africa",2015,2.5
"1079","South Africa",2016,2.5
"1080","Spain",1990,1.4
"1081","Spain",1991,1.3
"1082","Spain",1992,1.3
"1083","Spain",1993,1.3
"1084","Spain",1994,1.2
"1085","Spain",1995,1.2
"1086","Spain",1996,1.2
"1087","Spain",1997,1.2
"1088","Spain",1998,1.2
"1089","Spain",1999,1.2
"1090","Spain",2000,1.2
"1091","Spain",2001,1.2
"1092","Spain",2002,1.3
"1093","Spain",2003,1.3
"1094","Spain",2004,1.3
"1095","Spain",2005,1.3
"1096","Spain",2006,1.4
"1097","Spain",2007,1.4
"1098","Spain",2008,1.5
"1099","Spain",2009,1.4
"1100","Spain",2010,1.4
"1101","Spain",2011,1.3
"1102","Spain",2012,1.3
"1103","Spain",2013,1.3
"1104","Spain",2014,1.3
"1105","Spain",2015,1.3
"1106","Spain",2016,1.3
"1107","Sweden",1990,2.1
"1108","Sweden",1991,2.1
"1109","Sweden",1992,2.1
"1110","Sweden",1993,2
"1111","Sweden",1994,1.9
"1112","Sweden",1995,1.7
"1113","Sweden",1996,1.6
"1114","Sweden",1997,1.5
"1115","Sweden",1998,1.5
"1116","Sweden",1999,1.5
"1117","Sweden",2000,1.5
"1118","Sweden",2001,1.6
"1119","Sweden",2002,1.7
"1120","Sweden",2003,1.7
"1121","Sweden",2004,1.8
"1122","Sweden",2005,1.8
"1123","Sweden",2006,1.9
"1124","Sweden",2007,1.9
"1125","Sweden",2008,1.9
"1126","Sweden",2009,1.9
"1127","Sweden",2010,2
"1128","Sweden",2011,1.9
"1129","Sweden",2012,1.9
"1130","Sweden",2013,1.9
"1131","Sweden",2014,1.9
"1132","Sweden",2015,1.9
"1133","Sweden",2016,1.9
"1134","Switzerland",1990,1.6
"1135","Switzerland",1991,1.6
"1136","Switzerland",1992,1.6
"1137","Switzerland",1993,1.5
"1138","Switzerland",1994,1.5
"1139","Switzerland",1995,1.5
"1140","Switzerland",1996,1.5
"1141","Switzerland",1997,1.5
"1142","Switzerland",1998,1.5
"1143","Switzerland",1999,1.5
"1144","Switzerland",2000,1.5
"1145","Switzerland",2001,1.4
"1146","Switzerland",2002,1.4
"1147","Switzerland",2003,1.4
"1148","Switzerland",2004,1.4
"1149","Switzerland",2005,1.4
"1150","Switzerland",2006,1.4
"1151","Switzerland",2007,1.5
"1152","Switzerland",2008,1.5
"1153","Switzerland",2009,1.5
"1154","Switzerland",2010,1.5
"1155","Switzerland",2011,1.5
"1156","Switzerland",2012,1.5
"1157","Switzerland",2013,1.5
"1158","Switzerland",2014,1.5
"1159","Switzerland",2015,1.5
"1160","Switzerland",2016,1.5
"1161","Turkey",1990,3.1
"1162","Turkey",1991,3
"1163","Turkey",1992,2.9
"1164","Turkey",1993,2.9
"1165","Turkey",1994,2.8
"1166","Turkey",1995,2.8
"1167","Turkey",1996,2.7
"1168","Turkey",1997,2.6
"1169","Turkey",1998,2.6
"1170","Turkey",1999,2.5
"1171","Turkey",2000,2.3
"1172","Turkey",2001,2.4
"1173","Turkey",2002,2.2
"1174","Turkey",2003,2.1
"1175","Turkey",2004,2.1
"1176","Turkey",2005,2.1
"1177","Turkey",2006,2.1
"1178","Turkey",2007,2.2
"1179","Turkey",2008,2.2
"1180","Turkey",2009,2.1
"1181","Turkey",2010,2.1
"1182","Turkey",2011,2
"1183","Turkey",2012,2.1
"1184","Turkey",2013,2.1
"1185","Turkey",2014,2.2
"1186","Turkey",2015,2.2
"1187","Turkey",2016,2.1
"1188","United Kingdom",1990,1.8
"1189","United Kingdom",1991,1.8
"1190","United Kingdom",1992,1.8
"1191","United Kingdom",1993,1.8
"1192","United Kingdom",1994,1.7
"1193","United Kingdom",1995,1.7
"1194","United Kingdom",1996,1.7
"1195","United Kingdom",1997,1.7
"1196","United Kingdom",1998,1.7
"1197","United Kingdom",1999,1.7
"1198","United Kingdom",2000,1.6
"1199","United Kingdom",2001,1.6
"1200","United Kingdom",2002,1.6
"1201","United Kingdom",2003,1.7
"1202","United Kingdom",2004,1.8
"1203","United Kingdom",2005,1.8
"1204","United Kingdom",2006,1.8
"1205","United Kingdom",2007,1.9
"1206","United Kingdom",2008,1.9
"1207","United Kingdom",2009,1.9
"1208","United Kingdom",2010,1.9
"1209","United Kingdom",2011,1.9
"1210","United Kingdom",2012,1.9
"1211","United Kingdom",2013,1.8
"1212","United Kingdom",2014,1.8
"1213","United Kingdom",2015,1.8
"1214","United Kingdom",2016,1.8
"1215","United States",1990,2.1
"1216","United States",1991,2.1
"1217","United States",1992,2
"1218","United States",1993,2
"1219","United States",1994,2
"1220","United States",1995,2
"1221","United States",1996,2
"1222","United States",1997,2
"1223","United States",1998,2
"1224","United States",1999,2
"1225","United States",2000,2.1
"1226","United States",2001,2
"1227","United States",2002,2
"1228","United States",2003,2
"1229","United States",2004,2
"1230","United States",2005,2.1
"1231","United States",2006,2.1
"1232","United States",2007,2.1
"1233","United States",2008,2.1
"1234","United States",2009,2
"1235","United States",2010,1.9
"1236","United States",2011,1.9
"1237","United States",2012,1.9
"1238","United States",2013,1.9
"1239","United States",2014,1.9
"1240","United States",2015,1.8
"1241","United States",2016,1.8
