"","Country","Year","Marriage","Divorce"
"855","Slovenia",2010,3.2,1.2
"856","Slovenia",2011,3.2,1.1
"857","Slovenia",2012,3.4,1.2
"858","Slovenia",2013,3,1.1
"859","Slovenia",2014,3.2,1.2
"860","Slovenia",2015,3.1,1.2
"861","Slovenia",2016,3.2,1.2
"862","Spain",1990,5.7,0.6
"863","Spain",1991,5.6,0.7
"864","Spain",1992,5.6,0.7
"865","Spain",1993,5.1,0.7
"866","Spain",1994,5.1,0.8
"867","Spain",1995,5.1,0.8
"868","Spain",1996,4.9,0.8
"869","Spain",1997,5,0.9
"870","Spain",1998,5.2,0.9
"871","Spain",1999,5.2,0.9
"872","Spain",2000,5.4,0.9
"873","Spain",2001,5.1,1
"874","Spain",2002,5.1,1
"875","Spain",2003,5,1.1
"876","Spain",2004,5,1.2
"877","Spain",2005,4.7,1.7
"878","Spain",2006,4.5,2.9
"879","Spain",2007,4.4,2.8
"880","Spain",2008,4.2,2.4
"881","Spain",2009,3.7,2.1
"882","Spain",2010,3.6,2.2
"883","Spain",2011,3.4,2.2
"884","Spain",2012,3.5,2.2
"885","Spain",2013,3.3,2
"886","Spain",2014,3.4,2.2
"887","Spain",2015,3.6,2.1
"888","Spain",2016,3.7,2.1
"889","Sweden",1990,4.7,2.3
"890","Sweden",1991,4.3,2.3
"891","Sweden",1992,4.3,2.5
"892","Sweden",1993,3.9,2.5
"893","Sweden",1994,3.9,2.5
"894","Sweden",1995,3.8,2.6
"895","Sweden",1996,3.8,2.4
"896","Sweden",1997,3.7,2.4
"897","Sweden",1998,3.6,2.3
"898","Sweden",1999,4,2.4
"899","Sweden",2000,4.5,2.4
"900","Sweden",2001,4,2.4
"901","Sweden",2002,4.3,2.4
"902","Sweden",2003,4.4,2.4
"903","Sweden",2004,4.8,2.2
"904","Sweden",2005,4.9,2.2
"905","Sweden",2006,5,2.2
"906","Sweden",2007,5.2,2.3
"907","Sweden",2008,5.5,2.3
"908","Sweden",2009,5.1,2.4
"909","Sweden",2010,5.3,2.5
"910","Sweden",2011,5,2.5
"911","Sweden",2012,5.3,2.5
"912","Sweden",2013,5.4,2.8
"913","Sweden",2014,5.5,2.7
"914","Sweden",2015,5.3,2.5
"915","Sweden",2016,5.4,2.4
"916","Switzerland",1990,6.9,2
"917","Switzerland",1991,7,2
"918","Switzerland",1992,6.6,2.1
"919","Switzerland",1993,6.2,2.2
"920","Switzerland",1994,6.1,2.2
"921","Switzerland",1995,5.8,2.2
"922","Switzerland",1996,5.7,2.3
"923","Switzerland",1997,5.5,2.4
"924","Switzerland",1998,5.4,2.5
"925","Switzerland",1999,5.7,2.9
"926","Switzerland",2000,5.5,1.5
"927","Switzerland",2001,5,2.2
"928","Switzerland",2002,5.5,2.2
"929","Switzerland",2003,5.5,2.3
"930","Switzerland",2004,5.3,2.4
"931","Switzerland",2005,5.4,2.9
"932","Switzerland",2006,5.3,2.8
"933","Switzerland",2007,5.3,2.6
"934","Switzerland",2008,5.4,2.6
"935","Switzerland",2009,5.4,2.5
"936","Switzerland",2010,5.5,2.8
"937","Switzerland",2011,5.3,2.2
"938","Switzerland",2012,5.3,2.2
"939","Switzerland",2013,4.9,2.1
"940","Switzerland",2014,5.1,2
"941","Switzerland",2015,5,2.1
"942","Switzerland",2016,5,2
"943","Turkey",2003,7.1,0.8
"944","Turkey",2004,9.2,1.3
"945","Turkey",2005,9.5,1.4
"946","Turkey",2006,9.2,1.3
"947","Turkey",2007,9.1,1.3
"948","Turkey",2008,9,1.4
"949","Turkey",2009,8.2,1.6
"950","Turkey",2010,8,1.6
"951","Turkey",2011,8,1.6
"952","Turkey",2012,8,1.6
"953","Turkey",2013,7.9,1.6
"954","Turkey",2014,7.8,1.7
"955","Turkey",2015,7.7,1.7
"956","Turkey",2016,7.5,1.6
"957","United Kingdom",1990,6.6,2.7
"958","United Kingdom",1991,6.1,2.8
"959","United Kingdom",1992,6.2,2.8
"960","United Kingdom",1993,5.9,2.9
"961","United Kingdom",1994,5.7,2.7
"962","United Kingdom",1995,5.6,2.9
"963","United Kingdom",1996,5.5,3
"964","United Kingdom",1997,5.3,2.8
"965","United Kingdom",1998,5.2,2.7
"966","United Kingdom",1999,5.1,2.7
"967","United Kingdom",2000,5.2,2.6
"968","United Kingdom",2001,4.8,2.7
"969","United Kingdom",2002,4.9,2.7
"970","United Kingdom",2003,5.2,2.8
"971","United Kingdom",2004,4.94091835348453,2.8
"972","United Kingdom",2005,4.86092242901776,2.6
"973","United Kingdom",2006,4.78092650455096,2.4
"974","United Kingdom",2007,4.5,2.3
"975","United Kingdom",2008,4.4,2.2
"976","United Kingdom",2009,4.3,2
"977","United Kingdom",2010,4.5,2.1
"978","United Kingdom",2011,4.5,2.1
"979","United Kingdom",2012,4.30095095775027,2
"980","United Kingdom",2013,4.3,2
"981","United Kingdom",2014,4.5,1.9
"982","United Kingdom",2015,4.4,1.7
"983","United States",1992,9,4.8
"984","United States",1993,9.1,4.6
"985","United States",1994,8.9,4.6
"986","United States",1995,8.9,4.4
"987","United States",1996,8.8,4.3
"988","United States",1997,8.9,4.3
"989","United States",1998,8.3,4.2
"990","United States",1999,8.6,4.15928045789046
"991","United States",2000,8.2,4
"992","United States",2001,8.2,4
"993","United States",2002,8,3.9
"994","United States",2003,7.7,3.8
"995","United States",2004,7.8,3.7
"996","United States",2005,7.6,3.6
"997","United States",2006,7.5,3.7
"998","United States",2007,7.3,3.6
"999","United States",2008,7.1,3.5
"1000","United States",2009,6.8,3.5
"1001","United States",2010,6.8,3.6
"1002","United States",2011,6.8,3.6
"1003","United States",2012,6.8,3.4
"1004","United States",2013,6.8,3.3
"1005","United States",2014,6.9,3.2
"1006","United States",2015,6.9,3.1
"1007","United States",2016,6.9,3.2
