"","Country","Year","AVGHouseSize"
"146","Bolivia",1995,4.40593052461007
"147","Bolivia",1996,4.36382194931474
"148","Bolivia",1997,4.3217133740194
"149","Bolivia",1998,4.35731595924987
"150","Bolivia",1999,4.23749622342874
"151","Bolivia",2000,4.1953876481334
"152","Bolivia",2001,4.09074218084637
"153","Bolivia",2002,4.11117049754274
"154","Bolivia",2003,4.22908655112444
"155","Bolivia",2004,4.02695334695207
"156","Bolivia",2005,3.98484477165674
"157","Bolivia",2006,3.94273619636141
"158","Bolivia",2007,3.90062762106608
"159","Bolivia",2008,3.94455117330223
"160","Bolivia",2009,3.81641047047542
"161","Bolivia",2010,3.77430189518009
"162","Bolivia",2011,3.73219331988474
"163","Bolivia",2012,3.5304590604877
"164","Botswana",1991,4.7310282404055
"165","Botswana",1992,4.67162058559084
"166","Botswana",1993,4.61127032435198
"167","Botswana",1994,4.5509200631131
"168","Botswana",1995,4.49056980187423
"169","Botswana",1996,4.43021954063536
"170","Botswana",1997,4.3698692793965
"171","Botswana",1998,4.30951901815762
"172","Botswana",1999,4.24916875691875
"173","Botswana",2000,4.18881849567988
"174","Botswana",2001,4.13035344728938
"175","Botswana",2002,4.06811797320213
"176","Botswana",2003,4.00776771196327
"177","Botswana",2004,3.9474174507244
"178","Botswana",2005,3.88706718948553
"179","Botswana",2006,3.82671692824665
"180","Botswana",2007,3.76636666700779
"181","Botswana",2008,3.70601640576892
"182","Botswana",2009,3.64566614453005
"183","Botswana",2010,3.58531588329117
"184","Botswana",2011,3.52402301562812
"185","Brazil",1991,4.47156323684339
"186","Brazil",1992,4.34520131104426
"187","Brazil",1993,4.28484675380054
"188","Brazil",1994,4.22449219655681
"189","Brazil",1995,4.16413763931308
"190","Brazil",1996,4.0869428556502
"191","Brazil",1997,4.04342852482561
"192","Brazil",1998,3.98307396758189
"193","Brazil",1999,3.92271941033816
"194","Brazil",2000,3.76052716982598
"195","Brazil",2001,3.80201029585071
"196","Brazil",2002,3.74165573860698
"197","Brazil",2003,3.68130118136325
"198","Brazil",2004,3.62094662411951
"199","Brazil",2005,3.56059206687578
"200","Brazil",2006,3.50023750963206
"201","Brazil",2007,3.43988295238833
"202","Brazil",2008,3.3795283951446
"203","Brazil",2009,3.31917383790088
"204","Brazil",2010,3.31148982178934
"205","Bulgaria",2001,2.7482777787079
"206","Bulgaria",2002,2.70721248878614
"207","Bulgaria",2003,2.66614719886441
"208","Bulgaria",2004,2.62508190894268
"209","Bulgaria",2005,2.58401661902094
"210","Bulgaria",2006,2.54295132909921
"211","Bulgaria",2007,2.50188603917748
"212","Bulgaria",2008,2.46082074925575
"213","Bulgaria",2009,2.41975545933401
"214","Bulgaria",2010,2.37869016941228
"215","Bulgaria",2011,2.33762487949056
"216","Burkina Faso",1985,6.23470028812201
"217","Burkina Faso",1986,6.64848294879499
"218","Burkina Faso",1987,6.62308559346921
"219","Burkina Faso",1988,6.59768823814342
"220","Burkina Faso",1989,6.57229088281763
"221","Burkina Faso",1990,6.54689352749185
"222","Burkina Faso",1991,6.52149617216607
"223","Burkina Faso",1992,6.49609881684028
"224","Burkina Faso",1993,6.65748217116448
