"","Country","Year","traffic_mortality"
"165","Belgium",2004,12.0700000000002
"166","Belgium",2005,11
"167","Belgium",2006,11.03
"168","Belgium",2007,10.51
"169","Belgium",2008,9.99000000000001
"170","Belgium",2009,9.47000000000003
"171","Belgium",2010,8.1
"172","Belgium",2011,8.43000000000006
"173","Belgium",2012,7.91000000000008
"174","Belgium",2013,7.3900000000001
"175","Belgium",2014,6.87000000000012
"176","Belgium",2015,7.1
"177","Belize",2000,30.8
"178","Belize",2001,31.498
"179","Belize",2002,30.5060000000001
"180","Belize",2003,29.5140000000001
"181","Belize",2004,28.5219999999999
"182","Belize",2005,34.6
"183","Belize",2006,26.538
"184","Belize",2007,25.546
"185","Belize",2008,24.5540000000001
"186","Belize",2009,23.5620000000001
"187","Belize",2010,13.5
"188","Belize",2011,21.578
"189","Belize",2012,20.586
"190","Belize",2013,19.5940000000001
"191","Belize",2014,18.6020000000001
"192","Belize",2015,21.3
"193","Bosnia and Herzegovina",2000,18.4
"194","Bosnia and Herzegovina",2001,18.066
"195","Bosnia and Herzegovina",2002,17.952
"196","Bosnia and Herzegovina",2003,17.838
"197","Bosnia and Herzegovina",2004,17.724
"198","Bosnia and Herzegovina",2005,17.3
"199","Bosnia and Herzegovina",2006,17.496
"200","Bosnia and Herzegovina",2007,17.382
"201","Bosnia and Herzegovina",2008,17.268
"202","Bosnia and Herzegovina",2009,17.154
"203","Bosnia and Herzegovina",2010,17
"204","Bosnia and Herzegovina",2011,16.926
"205","Bosnia and Herzegovina",2012,16.812
"206","Bosnia and Herzegovina",2013,16.698
"207","Bosnia and Herzegovina",2014,16.584
"208","Bosnia and Herzegovina",2015,16.6
"209","Brazil",2000,15.9
"210","Brazil",2001,16.424
"211","Brazil",2002,16.8779999999999
"212","Brazil",2003,17.332
"213","Brazil",2004,17.7859999999999
"214","Brazil",2005,18.2
"215","Brazil",2006,18.694
"216","Brazil",2007,19.1479999999999
"217","Brazil",2008,19.602
"218","Brazil",2009,20.0559999999999
"219","Brazil",2010,20.8
"220","Brazil",2011,20.9639999999999
"221","Brazil",2012,21.4179999999999
"222","Brazil",2013,21.872
"223","Brazil",2014,22.3259999999999
"224","Brazil",2015,22.6
"225","Bulgaria",2000,12.6
"226","Bulgaria",2001,12.972
"227","Bulgaria",2002,12.634
"228","Bulgaria",2003,12.296
"229","Bulgaria",2004,11.958
"230","Bulgaria",2005,12.4
"231","Bulgaria",2006,11.282
"232","Bulgaria",2007,10.944
"233","Bulgaria",2008,10.606
"234","Bulgaria",2009,10.268
"235","Bulgaria",2010,10.5
"236","Bulgaria",2011,9.59199999999998
"237","Bulgaria",2012,9.25400000000002
"238","Bulgaria",2013,8.91600000000005
"239","Bulgaria",2014,8.57799999999997
"240","Bulgaria",2015,7.6
"241","Cabo Verde",2000,22.8
"242","Cabo Verde",2001,22.484
"243","Cabo Verde",2002,22.398
"244","Cabo Verde",2003,22.312
"245","Cabo Verde",2004,22.226
"246","Cabo Verde",2005,21.7
"247","Cabo Verde",2006,22.054
"248","Cabo Verde",2007,21.968
"249","Cabo Verde",2008,21.882
"250","Cabo Verde",2009,21.796
"251","Cabo Verde",2010,21.9
"252","Cabo Verde",2011,21.624
"253","Cabo Verde",2012,21.538
"254","Cabo Verde",2013,21.452
"255","Cabo Verde",2014,21.366
"256","Cabo Verde",2015,21.3
"257","Canada",2000,9.4
"258","Canada",2001,9.65200000000004
"259","Canada",2002,9.39400000000012
"260","Canada",2003,9.13600000000008
"261","Canada",2004,8.87800000000004
"262","Canada",2005,9.4
"263","Canada",2006,8.36200000000008
"264","Canada",2007,8.10400000000004
"265","Canada",2008,7.84600000000012
"266","Canada",2009,7.58800000000008
"267","Canada",2010,7.3
"268","Canada",2011,7.07200000000012
"269","Canada",2012,6.81400000000008
"270","Canada",2013,6.55600000000004
"271","Canada",2014,6.29800000000012
"272","Canada",2015,5.8
"273","Chile",2000,17.3
"274","Chile",2001,17.3599999999999
"275","Chile",2002,16.92
"276","Chile",2003,16.4799999999999
"277","Chile",2004,16.04
"278","Chile",2005,17
"279","Chile",2006,15.16
"280","Chile",2007,14.7199999999999
"281","Chile",2008,14.28
"282","Chile",2009,13.8399999999999
"283","Chile",2010,12.1
"284","Chile",2011,12.9599999999999
"285","Chile",2012,12.52
"286","Chile",2013,12.0799999999999
"287","Chile",2014,11.64
"288","Chile",2015,11.6
"289","Colombia",2000,20.4
"290","Colombia",2001,19.234
"291","Colombia",2002,19.148
"292","Colombia",2003,19.062
"293","Colombia",2004,18.976
"294","Colombia",2005,17.6
"295","Colombia",2006,18.804
"296","Colombia",2007,18.718
"297","Colombia",2008,18.632
"298","Colombia",2009,18.546
"299","Colombia",2010,17.8
"300","Colombia",2011,18.374
"301","Colombia",2012,18.288
"302","Colombia",2013,18.202
"303","Colombia",2014,18.116
"304","Colombia",2015,18.9
"305","Costa Rica",2000,17.8
"306","Costa Rica",2001,16.334
"307","Costa Rica",2002,16.148
"308","Costa Rica",2003,15.962
"309","Costa Rica",2004,15.776
"310","Costa Rica",2005,14.2
"311","Costa Rica",2006,15.404
"312","Costa Rica",2007,15.218
"313","Costa Rica",2008,15.032
"314","Costa Rica",2009,14.846
"315","Costa Rica",2010,13.6
"316","Costa Rica",2011,14.474
"317","Costa Rica",2012,14.288
"318","Costa Rica",2013,14.102
"319","Costa Rica",2014,13.916
"320","Costa Rica",2015,14.9
"321","Croatia",2000,14.6
"322","Croatia",2001,14.472
"323","Croatia",2002,14.0839999999999
"324","Croatia",2003,13.696
"325","Croatia",2004,13.308
"326","Croatia",2005,13.6
"327","Croatia",2006,12.532
"328","Croatia",2007,12.144
"329","Croatia",2008,11.756
"330","Croatia",2009,11.3679999999999
"331","Croatia",2010,10.4
"332","Croatia",2011,10.592
"333","Croatia",2012,10.204
"334","Croatia",2013,9.81600000000003
"335","Croatia",2014,9.428
"336","Croatia",2015,9.2
"337","Cuba",2000,15.7
"338","Cuba",2001,14.3120000000001
"339","Cuba",2002,13.7640000000001
"340","Cuba",2003,13.2160000000001
"341","Cuba",2004,12.6680000000001
"342","Cuba",2005,11.4
"343","Cuba",2006,11.5720000000001
"344","Cuba",2007,11.0240000000001
"345","Cuba",2008,10.4760000000001
"346","Cuba",2009,9.92800000000011
"347","Cuba",2010,8.3
"348","Cuba",2011,8.83200000000011
"349","Cuba",2012,8.28400000000011
"350","Cuba",2013,7.7360000000001
"351","Cuba",2014,7.1880000000001
"352","Cuba",2015,7.6
"353","Cyprus",2000,11.6
"354","Cyprus",2001,11.7579999999999
"355","Cyprus",2002,11.376
"356","Cyprus",2003,10.9939999999999
"357","Cyprus",2004,10.612
"358","Cyprus",2005,11.4
"359","Cyprus",2006,9.84799999999996
"360","Cyprus",2007,9.46600000000001
"361","Cyprus",2008,9.08399999999995
"362","Cyprus",2009,8.702
"363","Cyprus",2010,7.6
"364","Cyprus",2011,7.93799999999999
"365","Cyprus",2012,7.55599999999993
"366","Cyprus",2013,7.17399999999998
"367","Cyprus",2014,6.79199999999992
"368","Cyprus",2015,6.5
"369","Czech Republic",2000,14.5
"370","Czech Republic",2001,14.0699999999999
"371","Czech Republic",2002,13.49
"372","Czech Republic",2003,12.9099999999999
"373","Czech Republic",2004,12.3299999999999
"374","Czech Republic",2005,12.6
"375","Czech Republic",2006,11.1699999999998
"376","Czech Republic",2007,10.5899999999999
"377","Czech Republic",2008,10.01
"378","Czech Republic",2009,9.43000000000006
"379","Czech Republic",2010,7.6
"380","Czech Republic",2011,8.26999999999998
"381","Czech Republic",2012,7.69000000000005
"382","Czech Republic",2013,7.1099999999999
"383","Czech Republic",2014,6.52999999999997
"384","Czech Republic",2015,6.5
"385","Denmark",2000,9.5
"386","Denmark",2001,8.62399999999991
"387","Denmark",2002,8.22799999999995
"388","Denmark",2003,7.83199999999999
"389","Denmark",2004,7.43599999999992
"390","Denmark",2005,6.4
"391","Denmark",2006,6.64399999999989
"392","Denmark",2007,6.24799999999993
"393","Denmark",2008,5.85199999999998
"394","Denmark",2009,5.4559999999999
"395","Denmark",2010,4.9
"396","Denmark",2011,4.66399999999999
"397","Denmark",2012,4.26799999999992
"398","Denmark",2013,3.87199999999996
"399","Denmark",2014,3.47599999999989
"400","Denmark",2015,3.4
"401","Ecuador",2000,13.7
"402","Ecuador",2001,15.144
"403","Ecuador",2002,15.7180000000001
"404","Ecuador",2003,16.2920000000001
"405","Ecuador",2004,16.866
"406","Ecuador",2005,16.7
"407","Ecuador",2006,18.0140000000001
"408","Ecuador",2007,18.588
"409","Ecuador",2008,19.162
"410","Ecuador",2009,19.7360000000001
"411","Ecuador",2010,24.4
"412","Ecuador",2011,20.884
"413","Ecuador",2012,21.4580000000001
"414","Ecuador",2013,22.0320000000002
"415","Ecuador",2014,22.606
"416","Ecuador",2015,20.7
"417","El Salvador",2000,35.6
"418","El Salvador",2001,34.0360000000001
"419","El Salvador",2002,32.8919999999998
"420","El Salvador",2003,31.748
"421","El Salvador",2004,30.6039999999998
"422","El Salvador",2005,29.6
"423","El Salvador",2006,28.3159999999998
"424","El Salvador",2007,27.172
"425","El Salvador",2008,26.0279999999998
"426","El Salvador",2009,24.884
"427","El Salvador",2010,22.2
"428","El Salvador",2011,22.596
"429","El Salvador",2012,21.4520000000002
"430","El Salvador",2013,20.308
"431","El Salvador",2014,19.1640000000002
"432","El Salvador",2015,19
"433","Estonia",2000,17.4
"434","Estonia",2001,16.4159999999999
"435","Estonia",2002,15.6019999999999
"436","Estonia",2003,14.788
"437","Estonia",2004,13.9739999999999
"438","Estonia",2005,14.1
"439","Estonia",2006,12.346
"440","Estonia",2007,11.5319999999999
"441","Estonia",2008,10.7179999999998
"442","Estonia",2009,9.904
"443","Estonia",2010,6.7
"444","Estonia",2011,8.27599999999984
"445","Estonia",2012,7.46199999999999
"446","Estonia",2013,6.64799999999991
"447","Estonia",2014,5.83399999999983
"448","Estonia",2015,6.3
"449","Fiji",2000,9.8
"450","Fiji",2001,10.1180000000001
"451","Fiji",2002,9.84600000000012
"452","Fiji",2003,9.57400000000007
"453","Fiji",2004,9.30200000000002
"454","Fiji",2005,9.7
"455","Fiji",2006,8.75800000000004
"456","Fiji",2007,8.4860000000001
"457","Fiji",2008,8.21400000000006
"458","Fiji",2009,7.94200000000001
"459","Fiji",2010,8.1
"460","Fiji",2011,7.39800000000002
"461","Fiji",2012,7.12600000000009
"462","Fiji",2013,6.85400000000004
"463","Fiji",2014,6.58200000000011
"464","Fiji",2015,5.8
"465","Finland",2000,8.1
"466","Finland",2001,7.96600000000001
"467","Finland",2002,7.702
"468","Finland",2003,7.43799999999999
"469","Finland",2004,7.17399999999998
"470","Finland",2005,7.3
"471","Finland",2006,6.64599999999996
"472","Finland",2007,6.38199999999995
